rowNumber,Equipe,Classement FIFA,No.,Joueur,Position,Date de naissance,Age,Selections,Championnat,Club
251,Grece,12,9,Kostas Mitroglou,4. Attaquant,12 mars 1988,26,32,Angleterre,"Fulham   "
252,Grece,12,17,Theofanis Gekas,4. Attaquant,23 mai 1980,34,72,Turquie,"Konyaspor   "
253,Japon,46,1,Eiji Kawashima,1. Gardien,20 mars 1983,31,56,Belgique,"Standard Liege  "
254,Japon,46,23,Shūichi Gonda,1. Gardien,3 mars 1989,25,2,Japon,"F.C. Tokyo  "
255,Japon,46,12,Shusaku Nishikawa,1. Gardien,18 juin 1986,27,12,Japon,"Urawa Red Diamonds "
256,Japon,46,2,Atsuto Uchida,2. Defenseur,27 mars 1988,26,67,Allemagne,"Schalke 4  "
257,Japon,46,3,Gōtoku Sakai,2. Defenseur,14 février 1991,23,12,Allemagne,"VfB Stuttgart  "
258,Japon,46,21,Hiroki Sakai,2. Defenseur,12 avril 1990,24,17,Allemagne,"Hannover 96  "
259,Japon,46,19,Masahiko Inoha,2. Defenseur,28 août 1983,30,21,Japon,"Jubilo Iwata  "
260,Japon,46,6,Masato Morishige,2. Defenseur,21 mai 1987,27,9,Japon,"F.C. Tokyo  "
261,Japon,46,22,Maya Yoshida,2. Defenseur,24 août 1988,25,40,Angleterre,"Southampton   "
262,Japon,46,15,Yasuyuki Konno,2. Defenseur,25 janvier 1983,31,80,Japon,"Gamba Osaka  "
263,Japon,46,5,Yuto Nagatomo,2. Defenseur,12 septembre 1986,27,69,Italie,"Internazionale   "
264,Japon,46,8,Hiroshi Kiyotake,3. Milieu,12 novembre 1989,24,25,Allemagne,"1. FC Nürnberg "
265,Japon,46,16,Hotaru Yamaguchi,3. Milieu,6 octobre 1990,23,11,Japon,"Cerezo Osaka  "
266,Japon,46,4,Keisuke Honda,3. Milieu,13 juin 1986,27,55,Italie,"Milan   "
267,Japon,46,17,Makoto Hasebe (c),3. Milieu,18 janvier 1984,30,78,Allemagne,"1. FC Nürnberg "
268,Japon,46,10,Shinji Kagawa,3. Milieu,17 mars 1989,25,56,Angleterre,"Manchester United  "
269,Japon,46,14,Toshihiro Aoyama,3. Milieu,22 février 1986,28,5,Japon,"Sanfrecce Hiroshima  "
270,Japon,46,7,Yasuhito Endō,3. Milieu,28 janvier 1980,34,143,Japon,"Gamba Osaka  "
271,Japon,46,20,Manabu Saitō,4. Attaquant,4 avril 1990,24,4,Japon,"Yokohama F. Marinos "
272,Japon,46,9,Shinji Okazaki,4. Attaquant,16 avril 1986,28,75,Allemagne,"Mainz 5  "
273,Japon,46,11,Yoichiro Kakitani,4. Attaquant,3 janvier 1990,24,11,Japon,"Cerezo Osaka  "
274,Japon,46,13,Yoshito Ōkubo,4. Attaquant,9 juin 1982,31,56,Japon,"Kawasaki Frontale  "
275,Japon,46,18,Yuya Osako,4. Attaquant,18 mai 1990,24,8,Allemagne,"1860 München  "
276,Angleterre,10,13,Ben Foster,1. Gardien,3 mai 1983,31,6,Angleterre,"West Bromwich Albion "
277,Angleterre,10,22,Fraser Forster,1. Gardien,17 mars 1988,26,1,Ecosse,"Celtic   "
278,Angleterre,10,1,Joe Hart,1. Gardien,19 mai 1987,27,40,Angleterre,"Manchester City  "
279,Angleterre,10,12,Chris Smalling,2. Defenseur,22 novembre 1989,24,11,Angleterre,"Manchester United  "
280,Angleterre,10,5,Gary Cahill,2. Defenseur,19 décembre 1985,28,23,Angleterre,"Chelsea   "
281,Angleterre,10,2,Glen Johnson,2. Defenseur,23 août 1984,29,51,Angleterre,"Liverpool   "
282,Angleterre,10,3,Leighton Baines,2. Defenseur,11 décembre 1984,29,23,Angleterre,"Everton   "
283,Angleterre,10,23,Luke Shaw,2. Defenseur,12 juillet 1995,18,1,Angleterre,"Southampton   "
284,Angleterre,10,6,Phil Jagielka,2. Defenseur,17 août 1982,31,25,Angleterre,"Everton   "
285,Angleterre,10,16,Phil Jones,2. Defenseur,21 février 1992,22,9,Angleterre,"Manchester United  "
286,Angleterre,10,20,Adam Lallana,3. Milieu,10 mai 1988,26,4,Angleterre,"Southampton   "
287,Angleterre,10,15,Alex Oxlade-Chamberlain,3. Milieu,15 août 1993,20,14,Angleterre,"Arsenal   "
288,Angleterre,10,8,Frank Lampard,3. Milieu,20 juin 1978,35,103,Angleterre,"Chelsea   "
289,Angleterre,10,7,Jack Wilshere,3. Milieu,1 janvier 1992,22,16,Angleterre,"Arsenal   "
290,Angleterre,10,17,James Milner,3. Milieu,4 janvier 1986,28,46,Angleterre,"Manchester City  "
291,Angleterre,10,14,Jordan Henderson,3. Milieu,17 juin 1990,23,9,Angleterre,"Liverpool   "
292,Angleterre,10,19,Raheem Sterling,3. Milieu,8 décembre 1994,19,3,Angleterre,"Liverpool   "
293,Angleterre,10,21,Ross Barkley,3. Milieu,5 décembre 1993,20,4,Angleterre,"Everton   "
294,Angleterre,10,4,Steven Gerrard (c),3. Milieu,30 mai 1980,34,110,Angleterre,"Liverpool   "
295,Angleterre,10,9,Daniel Sturridge,4. Attaquant,1 septembre 1989,24,11,Angleterre,"Liverpool   "
296,Angleterre,10,11,Danny Welbeck,4. Attaquant,26 novembre 1990,23,22,Angleterre,"Manchester United  "
297,Angleterre,10,18,Rickie Lambert,4. Attaquant,16 février 1982,32,4,Angleterre,"Southampton   "
298,Angleterre,10,10,Wayne Rooney,4. Attaquant,24 octobre 1985,28,90,Angleterre,"Manchester United  "
299,Costa Rica,28,23,Daniel Cambronero,1. Gardien,8 janvier 1986,28,2,Costa Rica,"Herediano   "
300,Costa Rica,28,1,Keylor Navas,1. Gardien,15 décembre 1986,27,53,Espagne,"Levante   "
301,Costa Rica,28,18,Patrick Pemberton,1. Gardien,24 avril 1982,32,21,Costa Rica,"Alajuelense   "
302,Costa Rica,28,16,Cristian Gamboa,2. Defenseur,24 octobre 1989,24,24,Norvege,"Rosenborg   "
303,Costa Rica,28,3,Giancarlo Gonzalez,2. Defenseur,8 février 1988,26,34,Etats-Unis,"Columbus Crew  "
304,Costa Rica,28,8,Heiner Mora,2. Defenseur,20 juin 1984,29,22,Costa Rica,"Saprissa   "
305,Costa Rica,28,2,Johnny Acosta,2. Defenseur,21 juillet 1983,30,27,Costa Rica,"Alajuelense   "
306,Costa Rica,28,15,Junior Diaz,2. Defenseur,12 septembre 1983,30,58,Allemagne,"Mainz 5  "
307,Costa Rica,28,4,Michael Umana,2. Defenseur,16 juillet 1982,31,79,Costa Rica,"Saprissa   "
308,Costa Rica,28,6,Oscar Duarte,2. Defenseur,3 juin 1989,25,11,Belgique,"Club Brugge  "
309,Costa Rica,28,19,Roy Miller,2. Defenseur,24 novembre 1984,29,47,Etats-Unis,New York Red Bulls
310,Costa Rica,28,12,Waylon Francis,2. Defenseur,20 septembre 1990,23,1,Etats-Unis,"Columbus Crew  "
311,Costa Rica,28,5,Celso Borges,3. Milieu,27 mai 1988,26,63,Suede,"AIK   "
312,Costa Rica,28,7,Christian Bolanos,3. Milieu,17 mai 1984,30,55,Danemark,"Copenhagen   "
313,Costa Rica,28,20,Diego Calvo,3. Milieu,25 mars 1991,23,10,Norvege,"Vålerenga   "
314,Costa Rica,28,13,Esteban Granados,3. Milieu,25 octobre 1985,28,11,Costa Rica,"Herediano   "
315,Costa Rica,28,22,Jose Miguel Cubero,3. Milieu,14 février 1987,27,36,Costa Rica,"Herediano   "
316,Costa Rica,28,11,Michael Barrantes,3. Milieu,4 octobre 1983,30,51,Norvege,"Aalesund   "
317,Costa Rica,28,17,Yeltsin Tejeda,3. Milieu,17 mars 1992,22,22,Costa Rica,"Saprissa   "
318,Costa Rica,28,10,Bryan Ruiz (c),4. Attaquant,18 août 1985,28,62,Pays-Bas,"PSV   "
319,Costa Rica,28,9,Joel Campbell,4. Attaquant,26 juin 1992,21,33,Grece,"Olympiacos   "
320,Costa Rica,28,21,Marco Urena,4. Attaquant,5 mars 1990,24,25,Russie,"Kuban Krasnodar  "
321,Costa Rica,28,14,Randall Brenes,4. Attaquant,13 août 1983,30,37,Costa Rica,"Cartagines   "
322,Italie,9,1,Gianluigi Buffon (c),1. Gardien,28 janvier 1978,36,139,Italie,"Juventus   "
323,Italie,9,13,Mattia Perin,1. Gardien,10 novembre 1992,21,0,Italie,"Genoa   "
324,Italie,9,12,Salvatore Sirigu,1. Gardien,12 janvier 1987,27,8,France,"Paris Saint-Germain  "
325,Italie,9,15,Andrea Barzagli,2. Defenseur,8 mai 1981,33,47,Italie,"Juventus   "
326,Italie,9,20,Gabriel Paletta,2. Defenseur,15 février 1986,28,2,Italie,"Parma   "
327,Italie,9,3,Giorgio Chiellini,2. Defenseur,14 août 1984,29,67,Italie,"Juventus   "
328,Italie,9,7,Ignazio Abate,2. Defenseur,12 novembre 1986,27,19,Italie,"Milan   "
329,Italie,9,19,Leonardo Bonucci,2. Defenseur,1 mai 1987,27,36,Italie,"Juventus   "
330,Italie,9,4,Matteo Darmian,2. Defenseur,2 décembre 1989,24,1,Italie,"Torino   "
331,Italie,9,2,Mattia De Sciglio,2. Defenseur,20 octobre 1992,21,10,Italie,"Milan   "
332,Italie,9,14,Alberto Aquilani,3. Milieu,7 juillet 1984,29,34,Italie,"Fiorentina   "
333,Italie,9,21,Andrea Pirlo,3. Milieu,19 mai 1979,35,108,Italie,"Juventus   "
334,Italie,9,6,Antonio Candreva,3. Milieu,28 février 1987,27,19,Italie,"Lazio   "
335,Italie,9,8,Claudio Marchisio,3. Milieu,19 janvier 1986,28,43,Italie,"Juventus   "
336,Italie,9,16,Daniele De Rossi,3. Milieu,24 juillet 1983,30,94,Italie,"Roma   "
337,Italie,9,18,Marco Parolo,3. Milieu,25 janvier 1985,29,3,Italie,"Parma   "
338,Italie,9,23,Marco Verratti,3. Milieu,5 novembre 1992,21,5,France,"Paris Saint-Germain  "
339,Italie,9,5,Thiago Motta,3. Milieu,28 août 1982,31,20,France,"Paris Saint-Germain  "
340,Italie,9,11,Alessio Cerci,4. Attaquant,23 juillet 1987,26,11,Italie,"Torino   "
341,Italie,9,10,Antonio Cassano,4. Attaquant,12 juillet 1982,31,36,Italie,"Parma   "
342,Italie,9,17,Ciro Immobile,4. Attaquant,20 février 1990,24,2,Italie,"Torino   "
343,Italie,9,22,Lorenzo Insigne,4. Attaquant,4 juin 1991,23,4,Italie,"Napoli   "
344,Italie,9,9,Mario Balotelli,4. Attaquant,12 août 1990,23,29,Italie,"Milan   "
345,Uruguay,7,1,Fernando Muslera,1. Gardien,16 juin 1986,27,57,Turquie,"Galatasaray   "
346,Uruguay,7,23,Martin Silva,1. Gardien,25 mars 1983,31,4,Bresil,"Vasco da Gama "
347,Uruguay,7,12,Rodrigo Munoz,1. Gardien,22 janvier 1982,32,0,Paraguay,"Libertad   "
348,Uruguay,7,3,Diego Godin,2. Defenseur,16 février 1986,28,76,Espagne,"Atletico Madrid  "
349,Uruguay,7,2,Diego Lugano (c),2. Defenseur,2 novembre 1980,33,93,Angleterre,"West Bromwich Albion "
350,Uruguay,7,13,Jorge Fucile,2. Defenseur,19 novembre 1984,29,41,Portugal,"Porto   "
351,Uruguay,7,19,Jose Maria Gimenez,2. Defenseur,20 janvier 1995,19,5,Espagne,"Atletico Madrid  "
352,Uruguay,7,22,Martin Caceres,2. Defenseur,7 avril 1987,27,56,Italie,"Juventus   "
353,Uruguay,7,16,Maxi Pereira,2. Defenseur,8 juin 1984,29,89,Portugal,"Benfica   "
354,Uruguay,7,4,Sebastian Coates,2. Defenseur,7 octobre 1990,23,14,Uruguay,"Nacional   "
355,Uruguay,7,20,alvaro Gonzalez,3. Milieu,29 octobre 1984,29,42,Italie,"Lazio   "
356,Uruguay,7,6,alvaro Pereira,3. Milieu,28 novembre 1985,28,56,Bresil,"São Paulo  "
357,Uruguay,7,7,Cristian Rodriguez,3. Milieu,30 septembre 1985,28,72,Espagne,"Atletico Madrid  "
358,Uruguay,7,15,Diego Perez,3. Milieu,18 mai 1980,34,89,Italie,"Bologna   "
359,Uruguay,7,17,Egidio Arevalo Rios,3. Milieu,1 janvier 1982,32,54,Mexique,"Morelia   "
360,Uruguay,7,18,Gaston Ramirez,3. Milieu,2 décembre 1990,23,28,Angleterre,"Southampton   "
361,Uruguay,7,14,Nicolas Lodeiro,3. Milieu,21 mars 1989,25,26,Bresil,"Botafogo   "
362,Uruguay,7,5,Walter Gargano,3. Milieu,23 juillet 1984,29,62,Italie,"Parma   "
363,Uruguay,7,8,Abel Hernandez,4. Attaquant,8 août 1990,23,12,Italie,"Palermo   "
364,Uruguay,7,11,Christian Stuani,4. Attaquant,12 octobre 1986,27,9,Espagne,"Espanyol   "
365,Uruguay,7,10,Diego Forlan,4. Attaquant,19 mai 1979,35,109,Japon,"Cerezo Osaka  "
366,Uruguay,7,21,Edinson Cavani,4. Attaquant,14 février 1987,27,61,France,"Paris Saint-Germain  "
367,Uruguay,7,9,Luis Suarez,4. Attaquant,24 janvier 1987,27,77,Angleterre,"Liverpool   "
368,Equateur,26,12,Adrian Bone,1. Gardien,8 septembre 1988,25,3,Equateur,"El Nacional  "
369,Equateur,26,22,Alexander Dominguez,1. Gardien,5 juin 1987,27,18,Equateur,"LDU Quito  "
370,Equateur,26,1,Maximo Banguera,1. Gardien,16 décembre 1985,28,24,Equateur,"Barcelona   "
371,Equateur,26,3,Frickson Erazo,2. Defenseur,5 mai 1988,26,36,Bresil,"Flamengo   "
372,Equateur,26,21,Gabriel Achilier,2. Defenseur,24 mars 1985,29,22,Equateur,"Emelec   "
373,Equateur,26,2,Jorge Guagua,2. Defenseur,28 septembre 1981,32,58,Equateur,"Emelec   "
374,Equateur,26,4,Juan Carlos Paredes,2. Defenseur,8 juillet 1987,26,37,Equateur,"Barcelona   "
375,Equateur,26,18,oscar Bagüi,2. Defenseur,10 décembre 1982,31,21,Equateur,"Emelec   "
376,Equateur,26,10,Walter Ayovi,2. Defenseur,11 août 1979,34,89,Mexique,"Pachuca   "
377,Equateur,26,16,Antonio Valencia (c),3. Milieu,4 août 1985,28,70,Angleterre,"Manchester United  "
378,Equateur,26,23,Carlos Gruezo,3. Milieu,19 avril 1995,19,2,Allemagne,"VfB Stuttgart  "
379,Equateur,26,6,Christian Noboa,3. Milieu,9 avril 1985,29,41,Russie,"Dynamo Moscow  "
380,Equateur,26,8,Edison Mendez,3. Milieu,15 mars 1979,35,109,Colombie,"Santa Fe  "
381,Equateur,26,20,Fidel Martinez,3. Milieu,15 février 1990,24,8,Mexique,"Tijuana   "
382,Equateur,26,7,Jefferson Montero,3. Milieu,1 septembre 1989,24,39,Mexique,"Morelia   "
383,Equateur,26,9,Joao Rojas,3. Milieu,14 juin 1989,24,29,Mexique,"Cruz Azul  "
384,Equateur,26,19,Luis Saritama,3. Milieu,20 octobre 1983,30,48,Equateur,"Barcelona   "
385,Equateur,26,15,Michael Arroyo,3. Milieu,23 avril 1987,27,20,Mexique,"Atlante   "
386,Equateur,26,5,Renato Ibarra,3. Milieu,20 janvier 1991,23,17,Pays-Bas,"Vitesse   "
387,Equateur,26,14,Segundo Castillo,3. Milieu,15 mai 1982,32,81,Arabie Saoudite,"Al-Hilal   "
388,Equateur,26,13,Enner Valencia,4. Attaquant,11 avril 1989,25,9,Mexique,"Pachuca   "
389,Equateur,26,11,Felipe Caicedo,4. Attaquant,5 septembre 1988,25,49,EAU,"Al-Jazira   "
390,Equateur,26,17,Jaime Ayovi,4. Attaquant,21 février 1988,26,30,Mexique,"Tijuana   "
391,France,17,1,Hugo Lloris (c),1. Gardien,26 décembre 1986,27,56,Angleterre,"Tottenham Hotspur  "
392,France,17,23,Mickael Landreau,1. Gardien,14 mai 1979,35,11,France,"Bastia   "
393,France,17,16,Stephane Ruffier,1. Gardien,27 septembre 1986,27,2,France,"Saint-etienne   "
394,France,17,15,Bacary Sagna,2. Defenseur,14 février 1983,31,40,Angleterre,"Arsenal   "
395,France,17,13,Eliaquim Mangala,2. Defenseur,13 février 1991,23,3,Portugal,"Porto   "
396,France,17,21,Laurent Koscielny,2. Defenseur,10 septembre 1985,28,17,Angleterre,"Arsenal   "
397,France,17,17,Lucas Digne,2. Defenseur,20 juillet 1993,20,2,France,"Paris Saint-Germain  "
398,France,17,5,Mamadou Sakho,2. Defenseur,13 février 1990,24,18,Angleterre,"Liverpool   "
399,France,17,2,Mathieu Debuchy,2. Defenseur,28 juillet 1985,28,20,Angleterre,"Newcastle United  "
400,France,17,3,Patrice Evra,2. Defenseur,15 mai 1981,33,57,Angleterre,"Manchester United  "
401,France,17,4,Raphael Varane,2. Defenseur,25 avril 1993,21,5,Espagne,"Real Madrid  "
402,France,17,11,Antoine Griezmann,3. Milieu,21 mars 1991,23,3,Espagne,"Real Sociedad  "
403,France,17,14,Blaise Matuidi,3. Milieu,9 avril 1987,27,22,France,"Paris Saint-Germain  "
404,France,17,22,Morgan Schneiderlin,3. Milieu,8 novembre 1989,24,1,Angleterre,"Southampton   "
405,France,17,7,Remy Cabella,3. Milieu,8 mars 1990,24,1,France,Montpellier
406,France,17,8,Mathieu Valbuena,3. Milieu,28 septembre 1984,29,33,France,"Marseille   "
407,France,17,18,Moussa Sissoko,3. Milieu,16 août 1989,24,16,Angleterre,"Newcastle United  "
408,France,17,19,Paul Pogba,3. Milieu,15 mars 1993,21,10,Italie,"Juventus   "
409,France,17,12,Rio Mavuba,3. Milieu,8 mars 1984,30,11,France,"Lille   "
410,France,17,6,Yohan Cabaye,3. Milieu,14 janvier 1986,28,29,France,"Paris Saint-Germain  "
411,France,17,10,Karim Benzema,4. Attaquant,19 décembre 1987,26,65,Espagne,"Real Madrid  "
412,France,17,20,Loec Remy,4. Attaquant,2 janvier 1987,27,24,Angleterre,"Newcastle United  "
413,France,17,9,Olivier Giroud,4. Attaquant,30 septembre 1986,27,29,Angleterre,"Arsenal   "
414,Honduras,33,22,Donis Escober,1. Gardien,3 février 1980,34,26,Honduras,"Olimpia   "
415,Honduras,33,1,Luis Lopez,1. Gardien,13 septembre 1993,20,0,Honduras,"Real Espana  "
416,Honduras,33,18,Noel Valladares (c),1. Gardien,3 mai 1977,37,121,Honduras,"Olimpia   "
417,Honduras,33,23,Brayan Beckeles,2. Defenseur,28 novembre 1985,28,22,Honduras,"Olimpia   "
418,Honduras,33,7,Emilio Izaguirre,2. Defenseur,10 mai 1986,28,67,Ecosse,"Celtic   "
419,Honduras,33,6,Juan Carlos Garcia,2. Defenseur,8 mars 1988,26,33,Angleterre,"Wigan Athletic  "
420,Honduras,33,4,Juan Pablo Montes,2. Defenseur,26 octobre 1985,28,11,Honduras,"Motagua   "
421,Honduras,33,3,Maynor Figueroa,2. Defenseur,2 mai 1983,31,104,Angleterre,"Hull City  "
422,Honduras,33,2,Osman Chavez,2. Defenseur,29 juillet 1984,29,54,Chine,"Qingdao Jonoon  "
423,Honduras,33,5,Victor Bernardez,2. Defenseur,24 mai 1982,32,77,Etats-Unis,"San Jose Earthquakes "
424,Honduras,33,21,Andy Najar,3. Milieu,16 mars 1993,21,16,Belgique,"Anderlecht   "
425,Honduras,33,12,Edder Delgado,3. Milieu,20 novembre 1986,27,25,Honduras,"Real Espana  "
426,Honduras,33,20,Jorge Claros,3. Milieu,8 janvier 1986,28,48,Honduras,"Motagua   "
427,Honduras,33,19,Luis Garrido,3. Milieu,5 novembre 1990,23,19,Honduras,"Olimpia   "
428,Honduras,33,10,Mario Martinez,3. Milieu,30 juillet 1989,24,35,Honduras,"Real Espana  "
429,Honduras,33,17,Marvin Chavez,3. Milieu,3 novembre 1983,30,41,Etats-Unis,"Chivas USA  "
430,Honduras,33,14,oscar Garcia,3. Milieu,4 septembre 1984,29,92,Etats-Unis,"Houston Dynamo  "
431,Honduras,33,15,Roger Espinoza,3. Milieu,25 octobre 1986,27,41,Angleterre,"Wigan Athletic  "
432,Honduras,33,8,Wilson Palacios,3. Milieu,29 juillet 1984,29,94,Angleterre,"Stoke City  "
433,Honduras,33,13,Carlo Costly,4. Attaquant,18 juillet 1982,31,69,Honduras,"Real Espana  "
434,Honduras,33,11,Jerry Bengtson,4. Attaquant,8 avril 1987,27,43,Etats-Unis,"New Angleterre Revolution "
435,Honduras,33,9,Jerry Palacios,4. Attaquant,1 novembre 1981,32,23,Costa Rica,"Alajuelense   "
436,Honduras,33,16,Rony Martinez,4. Attaquant,16 octobre 1988,25,12,Honduras,"Real Sociedad  "
437,Suisse,6,1,Diego Benaglio,1. Gardien,8 septembre 1983,30,56,Allemagne,"VfL Wolfsburg  "
438,Suisse,6,21,Roman Bürki,1. Gardien,14 novembre 1990,23,0,Suisse,"Grasshopper   "
439,Suisse,6,12,Yann Sommer,1. Gardien,17 décembre 1988,25,6,Suisse,"Basel   "
440,Suisse,6,22,Fabian Schär,2. Defenseur,20 décembre 1991,22,5,Suisse,"Basel   "
441,Suisse,6,20,Johan Djourou,2. Defenseur,18 janvier 1987,27,44,Allemagne,"Hamburger SV  "
442,Suisse,6,6,Michael Lang,2. Defenseur,8 février 1991,23,5,Suisse,"Grasshopper   "
443,Suisse,6,4,Philippe Senderos,2. Defenseur,14 février 1985,29,53,Espagne,"Valencia   "
444,Suisse,6,3,Reto Ziegler,2. Defenseur,16 janvier 1986,28,35,Italie,"Sassuolo   "
445,Suisse,6,13,Ricardo Rodriguez,2. Defenseur,25 août 1992,21,20,Allemagne,"VfL Wolfsburg  "
446,Suisse,6,2,Stephan Lichtsteiner,2. Defenseur,16 janvier 1984,30,62,Italie,"Juventus   "
447,Suisse,6,5,Steve von Bergen,2. Defenseur,10 juin 1983,30,40,Suisse,"Young Boys  "
448,Suisse,6,15,Blerim Dzemaili,3. Milieu,12 avril 1986,28,33,Italie,"Napoli   "
449,Suisse,6,16,Gelson Fernandes,3. Milieu,2 septembre 1986,27,47,Allemagne,"SC Freiburg  "
450,Suisse,6,8,Gökhan Inler (c),3. Milieu,27 juin 1984,29,71,Italie,"Napoli   "
451,Suisse,6,10,Granit Xhaka,3. Milieu,27 septembre 1992,21,25,Allemagne,"Borussia Mönchengladbach  "
452,Suisse,6,7,Tranquillo Barnetta,3. Milieu,22 mai 1985,29,73,Allemagne,"Eintracht Frankfurt  "
453,Suisse,6,14,Valentin Stocker,3. Milieu,12 avril 1989,25,23,Suisse,"Basel   "
454,Suisse,6,11,Valon Behrami,3. Milieu,19 avril 1985,29,47,Italie,"Napoli   "
455,Suisse,6,23,Xherdan Shaqiri,3. Milieu,10 octobre 1991,22,32,Allemagne,"Bayern Munich  "
456,Suisse,6,18,Admir Mehmedi,4. Attaquant,16 mars 1991,23,20,Allemagne,"SC Freiburg  "
457,Suisse,6,9,Haris Seferovic,4. Attaquant,22 février 1992,22,10,Espagne,"Real Sociedad  "
458,Suisse,6,19,Josip Drmic,4. Attaquant,8 août 1992,21,6,Allemagne,"1. FC Nürnberg "
459,Suisse,6,17,Mario Gavranovic,4. Attaquant,24 novembre 1989,24,10,Suisse,"Zürich   "
460,Argentine,5,12,Agustin Orion,1. Gardien,26 juillet 1981,32,3,Argentine,"Boca Juniors  "
461,Argentine,5,21,Mariano Andujar,1. Gardien,30 juillet 1983,30,10,Italie,"Catania   "
462,Argentine,5,1,Sergio Romero,1. Gardien,22 février 1987,27,45,France,"Monaco   "
463,Argentine,5,2,Ezequiel Garay,2. Defenseur,10 octobre 1986,27,18,Portugal,"Benfica   "
464,Argentine,5,17,Federico Fernandez,2. Defenseur,21 février 1989,25,24,Italie,"Napoli   "
465,Argentine,5,3,Hugo Campagnaro,2. Defenseur,27 juin 1980,33,13,Italie,"Internazionale   "
466,Argentine,5,23,Jose Maria Basanta,2. Defenseur,3 avril 1984,30,8,Mexique,"Monterrey   "
467,Argentine,5,16,Marcos Rojo,2. Defenseur,20 mars 1990,24,20,Portugal,"Sporting   "
468,Argentine,5,15,Martin Demichelis,2. Defenseur,20 décembre 1980,33,37,Angleterre,"Manchester City  "
469,Argentine,5,4,Pablo Zabaleta,2. Defenseur,16 janvier 1985,29,36,Angleterre,"Manchester City  "
470,Argentine,5,7,angel di Maria,3. Milieu,14 février 1988,26,45,Espagne,"Real Madrid  "
471,Argentine,5,13,Augusto Fernandez,3. Milieu,10 avril 1986,28,7,Espagne,"Celta Vigo  "
472,Argentine,5,8,Enzo Perez,3. Milieu,22 février 1986,28,5,Portugal,"Benfica   "
473,Argentine,5,5,Fernando Gago,3. Milieu,10 avril 1986,28,47,Argentine,"Boca Juniors  "
474,Argentine,5,14,Javier Mascherano,3. Milieu,8 juin 1984,29,96,Espagne,"Barcelona   "
475,Argentine,5,6,Lucas Biglia,3. Milieu,30 janvier 1986,28,16,Italie,"Lazio   "
476,Argentine,5,11,Maxi Rodriguez,3. Milieu,2 janvier 1981,33,53,Argentine,"Newell's Old Boys "
477,Argentine,5,19,Ricardo alvarez,3. Milieu,12 avril 1988,26,5,Italie,"Internazionale   "
478,Argentine,5,22,Ezequiel Lavezzi,4. Attaquant,3 mai 1985,29,29,France,"Paris Saint-Germain  "
479,Argentine,5,9,Gonzalo Higuain,4. Attaquant,10 décembre 1987,26,36,Italie,"Napoli   "
480,Argentine,5,10,Lionel Messi (c),4. Attaquant,24 juin 1987,26,84,Espagne,"Barcelona   "
481,Argentine,5,18,Rodrigo Palacio,4. Attaquant,5 février 1982,32,15,Italie,"Internazionale   "
482,Argentine,5,20,Sergio Agüero,4. Attaquant,2 juin 1988,26,50,Angleterre,"Manchester City  "
483,Bosnie-Herzegovine,21,22,Asmir Avdukic,1. Gardien,13 mai 1981,33,3,Bosnie-Herzegovine,and Herzegovina Borac Banja
484,Bosnie-Herzegovine,21,1,Asmir Begovic,1. Gardien,20 juin 1987,26,30,Angleterre,"Stoke City  "
485,Bosnie-Herzegovine,21,12,Jasmin Fejzic,1. Gardien,15 mai 1986,28,0,Allemagne,"VfR Aalen  "
486,Bosnie-Herzegovine,21,2,Avdija Vrsajevic,2. Defenseur,6 mars 1986,28,13,Croatie,"Hajduk Split  "
487,Bosnie-Herzegovine,21,4,Emir Spahic (c),2. Defenseur,18 août 1980,33,74,Allemagne,"Bayer Leverkusen  "
488,Bosnie-Herzegovine,21,3,Ermin Bicakcic,2. Defenseur,24 janvier 1990,24,7,Allemagne,"Eintracht Braunschweig  "
489,Bosnie-Herzegovine,21,13,Mensur Mujdza,2. Defenseur,28 mars 1984,30,24,Allemagne,"SC Freiburg  "
490,Bosnie-Herzegovine,21,7,Muhamed Besic,2. Defenseur,10 septembre 1992,21,9,Hongrie,"Ferencvaros   "
491,Bosnie-Herzegovine,21,6,Ognjen Vranjes,2. Defenseur,24 octobre 1989,24,13,Turquie,"Elazığspor   "
492,Bosnie-Herzegovine,21,5,Sead Kolasinac,2. Defenseur,20 juin 1993,20,4,Allemagne,"Schalke 4  "
493,Bosnie-Herzegovine,21,15,Toni sunjic,2. Defenseur,15 décembre 1988,25,7,Ukraine,"Zorya Luhansk  "
494,Bosnie-Herzegovine,21,20,Anel Hadzic,3. Milieu,16 août 1989,24,2,Autriche,"Sturm Graz  "
495,Bosnie-Herzegovine,21,18,Haris Medunjanin,3. Milieu,8 mars 1985,29,35,Turquie,"Gaziantepspor   "
496,Bosnie-Herzegovine,21,14,Izet Hajrovic,3. Milieu,4 août 1991,22,7,Turquie,"Galatasaray   "
497,Bosnie-Herzegovine,21,8,Miralem Pjanic,3. Milieu,2 avril 1990,24,48,Italie,"Roma   "
498,Bosnie-Herzegovine,21,23,Sejad Salihovic,3. Milieu,8 octobre 1984,29,42,Allemagne,"1899 Hoffenheim  "
499,Bosnie-Herzegovine,21,16,Senad Lulic,3. Milieu,18 janvier 1986,28,33,Italie,"Lazio   "
500,Bosnie-Herzegovine,21,17,Senijad Ibricic,3. Milieu,26 septembre 1985,28,42,Turquie,"Kayseri Erciyesspor  "
