rowNumber,Team,Number,Position,FullName,Club,ClubCountry,DateOfBirth,IsCaptain
302,Germany,4,DF,Dennis Aogo,"Hamburger ",GER,1/14/1987,FALSE
303,Germany,5,DF,Serdar Tasci,VfB Stuttga,GER,4/24/1987,FALSE
304,Germany,6,MF,Sami Khedira,VfB Stuttga,GER,4/4/1987,FALSE
305,Germany,7,MF,Bastian Schweinsteiger,FC Bayern Munich,GER,8/1/1984,FALSE
306,Germany,8,MF,,SV Werder Bremen,GER,10/15/1988,FALSE
307,Germany,9,FW,Stefan KieÃŸling,Bayer 04 Leverkusen,GER,1/25/1984,FALSE
308,Germany,10,MF,Lukas Podolski,1. FC KÃ¶,GER,6/4/1985,FALSE
309,Germany,11,FW,Miroslav Klose,FC Bayern Munich,GER,6/9/1978,FALSE
310,Germany,12,GK,Tim Wiese,SV Werder Bremen,GER,12/17/1981,FALSE
311,Germany,13,MF,,FC Bayern Munich,GER,9/13/1989,FALSE
312,Germany,14,DF,Holger Badstuber,FC Bayern Munich,GER,3/13/1989,FALSE
313,Germany,15,MF,Piotr Trochowski,"Hamburger ",GER,3/22/1984,FALSE
314,Germany,16,DF,Philipp Lahm,FC Bayern Munich,GER,11/11/1983,TRUE
315,Germany,17,DF,Per Mertesacker,SV Werder Bremen,GER,9/29/1984,FALSE
316,Germany,18,MF,Toni Kroos,Bayer 04 Leverkusen,GER,1/4/1990,FALSE
317,Germany,19,FW,Cacau,VfB Stuttga,GER,3/27/1981,FALSE
318,Germany,20,DF,,"Hamburger ",GER,9/3/1988,FALSE
319,Germany,21,MF,Marko Marin,SV Werder Bremen,GER,3/13/1989,FALSE
320,Germany,22,GK,,FC Bayern Munich,GER,5/28/1974,FALSE
321,Germany,23,FW,,FC Bayern Munich,GER,7/10/1985,FALSE
322,Australia,1,GK,Mark Schwarzer,Fulham F.C.,ENG,10/6/1972,FALSE
323,Australia,2,DF,Lucas Neill,Galatasaray S.K. (football team),TUR,3/9/1978,TRUE
324,Australia,3,DF,Craig Moore,Free agent,,12/12/1975,FALSE
325,Australia,4,MF,Tim Cahill,Everton F.C.,ENG,12/6/1979,FALSE
326,Australia,5,MF,Jason ÄŒulina,Gold Coast United FC,AUS,8/5/1980,FALSE
327,Australia,6,DF,Michael Beauchamp,Al-Jazira Club,UAE,3/8/1981,FALSE
328,Australia,7,MF,Brett Emerton,Blackburn Rovers F.C.,ENG,2/22/1979,FALSE
329,Australia,8,DF,Luke Wilkshire,FC Dynamo Moscow,RUS,10/1/1981,FALSE
330,Australia,9,FW,Joshua Kennedy,Nagoya Gramp,JPN,8/20/1982,FALSE
331,Australia,10,FW,Harry Kewell,Galatasaray S.K. (football team),TUR,9/22/1978,FALSE
332,Australia,11,DF,Scott Chipperfield,FC Basel,SUI,12/30/1975,FALSE
333,Australia,12,GK,Adam Federici,Reading F.C.,ENG,1/31/1985,FALSE
334,Australia,13,MF,Vince Grella,Blackburn Rovers F.C.,ENG,10/5/1979,FALSE
335,Australia,14,FW,Brett Holman,AZ (football club),NED,3/27/1984,FALSE
336,Australia,15,MF,Mile Jedinak,Antalyasp,TUR,8/3/1984,FALSE
337,Australia,16,MF,Carl Valeri,U.S. Sassuolo Calcio,ITA,8/14/1984,FALSE
338,Australia,17,FW,Nikita Rukavytsya,clubK.S.V. Roeselare,BEL,6/22/1987,FALSE
339,Australia,18,GK,,Adelaide United FC,AUS,6/12/1981,FALSE
340,Australia,19,MF,Richard Garcia,Hull City A.F.C.,ENG,9/4/1981,FALSE
341,Australia,20,DF,Mark Milligan,JEF United Ichihara Chiba,JPN,9/4/1985,FALSE
342,Australia,21,DF,David Carney,FC Twente,NED,11/3/1983,FALSE
343,Australia,22,MF,,MSV Duisbu,GER,4/12/1987,FALSE
344,Australia,23,MF,Mark Bresciano,U.S. CittÃ  di Palermo,ITA,2/11/1980,FALSE
345,Serbia,1,GK,,Wigan Athletic F.C.,ENG,7/29/1983,FALSE
346,Serbia,2,DF,Antonio Rukavina,TSV 1860 MÃ¼nchen,GER,1/26/1984,FALSE
347,Serbia,3,DF,Aleksandar Kolarov,S.S. Lazio,ITA,11/10/1985,FALSE
348,Serbia,4,MF,Gojko KaÄar,Hertha B,GER,1/26/1987,FALSE
349,Serbia,5,DF,,Manchester United F.C.,ENG,10/21/1981,FALSE
350,Serbia,6,DF,,Chelsea F.C.,ENG,2/22/1984,FALSE
351,Serbia,7,MF,,1. FC KÃ¶,GER,4/28/1987,FALSE
352,Serbia,8,FW,,FC Zenit Saint Petersburg,RUS,5/17/1983,FALSE
353,Serbia,9,FW,,AFC Ajax,NED,9/15/1978,FALSE
354,Serbia,10,MF,,F.C. Internazionale Milano,ITA,9/11/1978,TRUE
355,Serbia,11,MF,,Wolverhampton Wanderers F.C.,ENG,4/30/1983,FALSE
356,Serbia,12,GK,,ZagÅ‚Ä™bie Lub,POL,3/25/1980,FALSE
357,Serbia,13,DF,,Udinese Calcio,ITA,10/23/1982,FALSE
358,Serbia,14,MF,,Standard LiÃ¨,BEL,4/18/1981,FALSE
359,Serbia,15,FW,,Valencia CF,ESP,9/25/1980,FALSE
360,Serbia,16,DF,,Real Zarago,ESP,7/25/1988,FALSE
361,Serbia,17,MF,,PFC CSKA Moscow,RUS,11/1/1984,FALSE
362,Serbia,18,MF,,FC Dynamo Kyiv,UKR,12/25/1984,FALSE
363,Serbia,19,MF,,FK Partizan,SRB,3/8/1989,FALSE
364,Serbia,20,DF,,Borussia Dortmu,GER,12/10/1988,FALSE
365,Serbia,21,FW,,FK Vojvodina,SRB,1/23/1984,FALSE
366,Serbia,22,MF,,VfB Stuttga,GER,9/22/1987,FALSE
367,Serbia,23,GK,,U.D. Leiria,POR,11/21/1980,FALSE
368,Ghana,1,GK,Daniel Adjei,Liberty Professionals F.C.,GHA,11/10/1989,FALSE
369,Ghana,2,DF,Hans Sarpei,Bayer 04 Leverkusen,GER,6/28/1976,FALSE
370,Ghana,3,FW,Asamoah Gyan,Stade Rennais F.C.,FRA,11/22/1985,FALSE
371,Ghana,4,DF,John Paintsil,Fulham F.C.,ENG,6/15/1981,FALSE
372,Ghana,5,DF,John Mensah,Sunderland A.F.C.,ENG,11/29/1982,TRUE
373,Ghana,6,MF,Anthony Annan,Rosenborg BK,NOR,7/21/1986,FALSE
374,Ghana,7,DF,Samuel Inkoom,FC Basel,SUI,8/22/1989,FALSE
375,Ghana,8,DF,Jonathan Mensah,Granada CF,ESP,7/13/1990,FALSE
376,Ghana,9,MF,Derek Boateng,Getafe CF,ESP,4/2/1983,FALSE
377,Ghana,10,MF,Stephen Appiah,Bologna F.C. 1909,ITA,12/24/1980,FALSE
378,Ghana,11,MF,Sulley Muntari,F.C. Internazionale Milano,ITA,8/27/1984,FALSE
379,Ghana,12,FW,Prince Tagoe,TSG 1899 Hoffenheim,GER,11/9/1986,FALSE
380,Ghana,13,MF,,AC Arles-Avignon,FRA,12/17/1989,FALSE
381,Ghana,14,FW,Matthew Amoah,NAC Breda,NED,10/24/1980,FALSE
382,Ghana,15,DF,Isaac Vorsah,TSG 1899 Hoffenheim,GER,6/21/1988,FALSE
383,Ghana,16,GK,Stephen Ahorlu,Heart of Lio,GHA,5/10/1989,FALSE
384,Ghana,17,DF,Abdul Rahim Ayew,Zamalek SC,EGY,4/16/1988,FALSE
385,Ghana,18,FW,Dominic Adiyiah,A.C. Milan,ITA,11/29/1989,FALSE
386,Ghana,19,DF,Lee Addy,Bechem Chels,GHA,9/26/1985,FALSE
387,Ghana,20,MF,Quincy Owusu-Abeyie,Al-Sadd Sports Club,QAT,4/15/1986,FALSE
388,Ghana,21,MF,Kwadwo Asamoah,Udinese Calcio,ITA,9/9/1988,FALSE
389,Ghana,22,GK,Richard Kingson,Wigan Athletic F.C.,ENG,6/13/1978,FALSE
390,Ghana,23,MF,Kevin-Prince Boateng,Portsmouth F.C.,ENG,3/6/1987,FALSE
391,Netherlands,1,GK,Maarten Stekelenburg,AFC Ajax,NED,9/22/1982,FALSE
392,Netherlands,2,DF,Gregory van der Wiel,AFC Ajax,NED,2/3/1988,FALSE
393,Netherlands,3,DF,John Heitinga,Everton F.C.,ENG,11/15/1983,FALSE
394,Netherlands,4,DF,Joris Mathijsen,"Hamburger ",GER,4/5/1980,FALSE
395,Netherlands,5,DF,Giovanni van Bronckhorst,Feyenoo,NED,2/5/1975,TRUE
396,Netherlands,6,MF,Mark van Bommel,FC Bayern Munich,GER,4/22/1977,FALSE
397,Netherlands,7,FW,Dirk Kuyt,Liverpool F.C.,ENG,7/22/1980,FALSE
398,Netherlands,8,MF,Nigel de Jong,Manchester City F.C.,ENG,11/30/1984,FALSE
399,Netherlands,9,FW,Robin van Persie,Arsenal F.C.,ENG,8/6/1983,FALSE
400,Netherlands,10,MF,Wesley Sneijder,F.C. Internazionale Milano,ITA,6/9/1984,FALSE
401,Netherlands,11,FW,Arjen Robben,FC Bayern Munich,GER,1/23/1984,FALSE
402,Netherlands,12,DF,Khalid Boulahrouz,VfB Stuttga,GER,12/28/1981,FALSE
403,Netherlands,13,DF,,PSV Eindhov,NED,7/11/1974,FALSE
404,Netherlands,14,MF,Demy de Zeeuw,AFC Ajax,NED,5/26/1983,FALSE
405,Netherlands,15,DF,Edson Braafheid,Celtic F.C.,SCO,4/8/1983,FALSE
406,Netherlands,16,GK,Michel Vorm,FC Utrecht,NED,10/20/1983,FALSE
407,Netherlands,17,FW,Eljero Elia,"Hamburger ",GER,2/13/1987,FALSE
408,Netherlands,18,MF,Stijn Schaars,AZ (football club),NED,1/11/1984,FALSE
409,Netherlands,19,FW,Ryan Babel,Liverpool F.C.,ENG,12/19/1986,FALSE
410,Netherlands,20,MF,Ibrahim Afellay,PSV Eindhov,NED,4/2/1986,FALSE
411,Netherlands,21,FW,Klaas-Jan Huntelaar,A.C. Milan,ITA,8/12/1983,FALSE
412,Netherlands,22,GK,Sander Boschker,FC Twente,NED,10/20/1970,FALSE
413,Netherlands,23,MF,Rafael van der Vaart,Real Madrid C.F.,ESP,2/11/1983,FALSE
414,Denmark,1,GK,,Stoke City F.C.,ENG,6/12/1976,FALSE
415,Denmark,2,MF,Christian Poulsen,Juventus F.C.,ITA,2/28/1980,FALSE
416,Denmark,3,DF,,U.S. CittÃ  di Palermo,ITA,3/26/1989,FALSE
417,Denmark,4,DF,Daniel Agger,Liverpool F.C.,ENG,12/12/1984,FALSE
418,Denmark,5,DF,William Kvist,F.C. Copenhagen,DEN,2/24/1985,FALSE
419,Denmark,6,DF,Lars Jacobsen,Blackburn Rovers F.C.,ENG,9/20/1979,FALSE
420,Denmark,7,MF,Daniel Jensen,SV Werder Bremen,GER,6/25/1979,FALSE
421,Denmark,8,MF,,F.C. Copenhagen,DEN,8/12/1977,FALSE
422,Denmark,9,FW,Jon Dahl Tomasson,Feyenoo,NED,8/29/1976,TRUE
423,Denmark,10,MF,,Aarhus Gymnastikforening,DEN,10/6/1975,FALSE
424,Denmark,11,FW,Nicklas Bendtner,Arsenal F.C.,ENG,1/16/1988,FALSE
425,Denmark,12,MF,Thomas Kahlenberg,VfL Wolfsbu,GER,3/20/1983,FALSE
426,Denmark,13,DF,,ACF Fiorentina,ITA,7/31/1979,FALSE
427,Denmark,14,MF,Jakob Poulsen,Aarhus Gymnastikforening,DEN,7/7/1983,FALSE
428,Denmark,15,DF,Simon Poulsen,AZ (football club),NED,10/7/1984,FALSE
429,Denmark,16,GK,Stephan Andersen,BrÃ¸ndby IF,DEN,11/26/1981,FALSE
430,Denmark,17,MF,Mikkel Beckmann,Randers FC,DEN,10/24/1983,FALSE
431,Denmark,18,FW,,MSV Duisbu,GER,9/6/1981,FALSE
432,Denmark,19,MF,Dennis Rommedahl,AFC Ajax,NED,7/22/1978,FALSE
433,Denmark,20,MF,Thomas Enevoldsen,FC Groningen,NED,7/27/1987,FALSE
434,Denmark,21,MF,Christian Eriksen,AFC Ajax,NED,2/14/1992,FALSE
435,Denmark,22,GK,Jesper Christiansen,F.C. Copenhagen,DEN,4/24/1978,FALSE
436,Denmark,23,DF,Patrick Mtiliga,MÃ¡laga CF,ESP,1/28/1981,FALSE
437,Japan,1,GK,Seigo Narazaki,Nagoya Gramp,JPN,4/15/1976,FALSE
438,Japan,2,MF,Yuki Abe,Urawa Red Diamon,JPN,9/6/1981,FALSE
439,Japan,3,DF,,JÃºbilo Iwa,JPN,7/25/1981,FALSE
440,Japan,4,DF,Marcus Tulio Tanaka,Nagoya Gramp,JPN,4/24/1981,FALSE
441,Japan,5,DF,Yuto Nagatomo,FC Tok,JPN,9/12/1986,FALSE
442,Japan,6,DF,Atsuto Uchida,Kashima Antle,JPN,3/27/1988,FALSE
443,Japan,7,MF,Yasuhito EndÅ,Gamba Osa,JPN,1/28/1980,FALSE
444,Japan,8,FW,Daisuke Matsui,Grenoble Foot 38,FRA,5/11/1981,FALSE
445,Japan,9,FW,Shinji Okazaki,Shimizu S-Pul,JPN,4/16/1986,FALSE
446,Japan,10,MF,Shunsuke Nakamura,Yokohama F. Marin,JPN,6/24/1978,FALSE
447,Japan,11,FW,Keiji Tamada,Nagoya Gramp,JPN,4/11/1980,FALSE
448,Japan,12,FW,Kisho Yano,Albirex Niiga,JPN,4/5/1984,FALSE
449,Japan,13,DF,Daiki Iwamasa,Kashima Antle,JPN,1/30/1982,FALSE
450,Japan,14,MF,Kengo Nakamura,Kawasaki Fronta,JPN,10/31/1980,FALSE
451,Japan,15,DF,Yasuyuki Konno,FC Tok,JPN,1/25/1983,FALSE
452,Japan,16,FW,Yoshito ÅŒkubo,Vissel Ko,JPN,6/9/1982,FALSE
453,Japan,17,MF,Makoto Hasebe,VfL Wolfsbu,GER,1/18/1984,FALSE
454,Japan,18,MF,Keisuke Honda,PFC CSKA Moscow,RUS,6/13/1986,FALSE
455,Japan,19,FW,Takayuki Morimoto,Calcio Catania,ITA,5/7/1988,FALSE
456,Japan,20,MF,Junichi Inamoto,Kawasaki Fronta,JPN,9/18/1979,FALSE
457,Japan,21,GK,Eiji Kawashima,Kawasaki Fronta,JPN,3/20/1983,FALSE
458,Japan,22,DF,Yuji Nakazawa,Yokohama F. Marin,JPN,2/25/1978,FALSE
459,Japan,23,GK,Yoshikatsu Kawaguchi,JÃºbilo Iwa,JPN,8/15/1975,TRUE
460,Cameroon,1,GK,Idriss Carlos Kameni,RCD Espanyol,ESP,2/18/1984,FALSE
461,Cameroon,2,DF,,Tottenham Hotspur F.C.,ENG,3/24/1984,FALSE
462,Cameroon,3,DF,Nicolas N'Koulou,AS Monaco FC,FRA,3/27/1990,FALSE
463,Cameroon,4,DF,Rigobert Song,Trabzonsp,TUR,7/1/1976,FALSE
464,Cameroon,5,DF,,Tottenham Hotspur F.C,ENG,7/9/1986,FALSE
465,Cameroon,6,MF,Alex Song,Arsenal F.C.,ENG,9/9/1987,FALSE
466,Cameroon,7,MF,,Celtic F.C.,SCO,11/28/1985,FALSE
467,Cameroon,8,DF,Geremi Njitap,AnkaragÃ¼c,TUR,12/20/1978,FALSE
468,Cameroon,9,FW,Samuel Eto'o,F.C. Internazionale Milano,ITA,3/10/1981,TRUE
469,Cameroon,10,MF,Achille Emana,Real Bet,ESP,6/5/1982,FALSE
470,Cameroon,11,MF,Jean Makoun,Olympique Lyonnais,FRA,5/29/1983,FALSE
471,Cameroon,12,DF,,Valenciennes FC,FRA,4/25/1988,FALSE
472,Cameroon,13,FW,Eric Maxim Choupo-Moting,1. FC NÃ¼rnbe,GER,3/23/1989,FALSE
473,Cameroon,14,DF,,Lille OSC,FRA,6/20/1985,FALSE
474,Cameroon,15,FW,,RCD Mallorca,ESP,1/20/1982,FALSE
475,Cameroon,16,GK,Souleymanou Hamidou,Kayserisp,TUR,11/22/1973,FALSE
476,Cameroon,17,FW,Mohammadou Idrissou,SC Freibu,GER,3/8/1980,FALSE
477,Cameroon,18,MF,Eyong Enoh,AFC Ajax,NED,3/23/1986,FALSE
478,Cameroon,19,DF,,Olympique de Marseille,FRA,5/20/1986,FALSE
479,Cameroon,20,MF,Georges Mandjeck,1. FC Kaiserslaute,GER,12/9/1988,FALSE
480,Cameroon,21,MF,,FC Schalke 04,GER,8/8/1991,FALSE
481,Cameroon,22,GK,,Valenciennes FC,FRA,2/28/1986,FALSE
482,Cameroon,23,FW,Vincent Aboubakar,Cotonsport Garo,CMR,1/22/1992,FALSE
483,Italy,1,GK,Gianluigi Buffon,Juventus F.C.,ITA,1/28/1978,FALSE
484,Italy,2,DF,Christian Maggio,S.S.C. Napoli,ITA,2/11/1982,FALSE
485,Italy,3,DF,Domenico Criscito,Genoa C.F.C.,ITA,12/30/1986,FALSE
486,Italy,4,DF,Giorgio Chiellini,Juventus F.C.,ITA,8/14/1984,FALSE
487,Italy,5,DF,Fabio Cannavaro,Juventus F.C.,ITA,9/13/1973,TRUE
488,Italy,6,MF,Daniele De Rossi,A.S. Roma,ITA,7/24/1983,FALSE
489,Italy,7,MF,Simone Pepe,Udinese Calcio,ITA,8/30/1983,FALSE
490,Italy,8,MF,Gennaro Gattuso,A.C. Milan,ITA,1/9/1978,FALSE
491,Italy,9,FW,Vincenzo Iaquinta,Juventus F.C.,ITA,11/21/1979,FALSE
492,Italy,10,FW,Antonio Di Natale,Udinese Calcio,ITA,10/13/1977,FALSE
493,Italy,11,FW,Alberto Gilardino,ACF Fiorentina,ITA,7/5/1982,FALSE
494,Italy,12,GK,Federico Marchetti,Cagliari Calcio,ITA,2/7/1983,FALSE
495,Italy,13,DF,Salvatore Bocchetti,Genoa C.F.C.,ITA,11/30/1986,FALSE
496,Italy,14,GK,Morgan De Sanctis,S.S.C. Napoli,ITA,3/26/1977,FALSE
497,Italy,15,MF,Claudio Marchisio,Juventus F.C.,ITA,1/19/1986,FALSE
498,Italy,16,MF,Mauro Camoranesi,Juventus F.C.,ITA,10/4/1976,FALSE
499,Italy,17,MF,Angelo Palombo,U.C. Sampdoria,ITA,9/25/1981,FALSE
500,Italy,18,FW,Fabio Quagliarella,S.S.C. Napoli,ITA,1/31/1983,FALSE
501,Italy,19,DF,Gianluca Zambrotta,A.C. Milan,ITA,2/19/1977,FALSE
502,Italy,20,FW,Giampaolo Pazzini,U.C. Sampdoria,ITA,8/2/1984,FALSE
503,Italy,21,MF,Andrea Pirlo,A.C. Milan,ITA,5/19/1979,FALSE
504,Italy,22,MF,Riccardo Montolivo,ACF Fiorentina,ITA,1/18/1985,FALSE
505,Italy,23,DF,Leonardo Bonucci,A.S. Bari,ITA,5/1/1987,FALSE
506,Paraguay,1,GK,Justo Villar,Real Valladol,ESP,6/30/1977,TRUE
507,Paraguay,2,DF,,Club Universidad Nacional,MEX,6/26/1979,FALSE
508,Paraguay,3,DF,,Boca Junio,ARG,2/2/1978,FALSE
509,Paraguay,4,DF,Denis Caniza,Club LeÃ³n,MEX,8/29/1974,FALSE
510,Paraguay,5,DF,,AtlÃ©tico Minei,BRA,10/5/1979,FALSE
511,Paraguay,6,DF,Carlos Bonet,Club Olimpia,PAR,10/2/1977,FALSE
512,Paraguay,7,FW,,S.L. Benfica,POR,5/20/1983,FALSE
513,Paraguay,8,MF,,Atalanta Calcio,ITA,7/15/1984,FALSE
514,Paraguay,9,FW,Roque Santa Cruz,Manchester City F.C.,ENG,8/16/1981,FALSE
515,Paraguay,10,FW,,C.F. Pachuca,MEX,11/8/1987,FALSE
516,Paraguay,11,MF,Jonathan Santana,VfL Wolfsbu,GER,10/19/1981,FALSE
517,Paraguay,12,GK,Diego Barreto,Cerro PorteÃ,PAR,7/16/1981,FALSE
518,Paraguay,13,MF,Enrique Vera,Liga Deportiva Universitaria de Quito,ECU,3/10/1979,FALSE
519,Paraguay,14,DF,Paulo da Silva,Sunderland A.F.C.,ENG,2/1/1980,FALSE
520,Paraguay,15,MF,,Club Libertad,PAR,3/25/1985,FALSE
521,Paraguay,16,MF,Cristian Riveros,Cruz Az,MEX,10/16/1982,FALSE
522,Paraguay,17,DF,Aureliano Torres,San Lorenzo de Almagro,ARG,6/16/1982,FALSE
523,Paraguay,18,FW,Nelson Haedo Valdez,Borussia Dortmu,GER,11/28/1983,FALSE
524,Paraguay,19,FW,Lucas Barrios,Borussia Dortmu,GER,11/13/1984,FALSE
525,Paraguay,20,MF,,Argentinos Junio,ARG,10/7/1984,FALSE
526,Paraguay,21,DF,,Club Brugge K.V.,BEL,7/30/1982,FALSE
527,Paraguay,22,GK,Aldo Bobadilla,Independiente MedellÃ,COL,4/20/1976,FALSE
528,Paraguay,23,FW,Rodolfo Gamarra,Club Libertad,PAR,12/10/1988,FALSE
529,New Zealand,1,GK,Mark Paston,Wellington Phoenix FC,NZL,12/13/1976,FALSE
530,New Zealand,2,DF,Ben Sigmund,Wellington Phoenix FC,NZL,2/3/1981,FALSE
531,New Zealand,3,DF,Tony Lochhead,Wellington Phoenix FC,NZL,1/12/1982,FALSE
532,New Zealand,4,DF,Winston Reid (footballer),FC Midtjylland,DEN,7/3/1988,FALSE
533,New Zealand,5,DF,Ivan Vicelich,Auckland City FC,NZL,9/3/1976,FALSE
534,New Zealand,6,DF,Ryan Nelsen,Blackburn Rovers F.C.,ENG,10/18/1977,TRUE
535,New Zealand,7,MF,Simon Elliott,Free agent,,6/10/1974,FALSE
536,New Zealand,8,MF,Tim Brown (footballer),Wellington Phoenix FC,NZL,3/6/1981,FALSE
537,New Zealand,9,FW,Shane Smeltz,Gold Coast United FC,AUS,9/29/1981,FALSE
538,New Zealand,10,FW,Chris Killen,Middlesbrough F.C.,ENG,10/8/1981,FALSE
539,New Zealand,11,MF,Leo Bertos,Wellington Phoenix FC,NZL,12/20/1981,FALSE
540,New Zealand,12,GK,Glen Moss,Melbourne Victory FC,AUS,1/19/1983,FALSE
541,New Zealand,13,MF,Andrew Barron,Team Wellingt,NZL,12/24/1980,FALSE
542,New Zealand,14,FW,Rory Fallon,Plymouth Argyle F.C.,ENG,3/20/1982,FALSE
543,New Zealand,15,MF,Michael McGlinchey,Motherwell F.C.,SCO,1/7/1987,FALSE
544,New Zealand,16,MF,Aaron Clapham,Canterbury Unit,NZL,1/1/1987,FALSE
545,New Zealand,17,MF,David Mulligan,Free agent,,3/24/1982,FALSE
546,New Zealand,18,DF,Andrew Boyens,New York Red Bul,USA,9/18/1983,FALSE
547,New Zealand,19,DF,Tommy Smith (footballer born 1990),Ipswich Town F.C.,ENG,3/31/1990,FALSE
548,New Zealand,20,FW,Chris Wood (footballer born 1991),West Bromwich Albion F.C.,ENG,12/7/1991,FALSE
549,New Zealand,21,MF,Jeremy Christie,FC Tampa Bay,USA,5/22/1983,FALSE
550,New Zealand,22,MF,Jeremy Brockie,Newcastle United Jets FC,AUS,10/7/1987,FALSE
551,New Zealand,23,GK,James Bannatyne,Team Wellingt,NZL,6/30/1975,FALSE
552,Slovakia,1,GK,,Legia Warsza,POL,12/5/1982,FALSE
553,Slovakia,2,DF,,VfL Wolfsbu,GER,10/30/1986,FALSE
554,Slovakia,3,DF,,Liverpool F.C.,ENG,12/15/1984,FALSE
555,Slovakia,4,DF,Marek ÄŒech (Slovak footballer),West Bromwich Albion F.C.,ENG,1/26/1983,FALSE
556,Slovakia,5,DF,,1. FSV Mainz 05,GER,9/16/1980,FALSE
557,Slovakia,6,MF,,Skoda Xanthi F.C.,GRE,6/9/1976,FALSE
558,Slovakia,7,MF,,Bolton Wanderers F.C.,ENG,11/30/1989,FALSE
559,Slovakia,8,MF,,FC TimiÅŸoara,ROU,4/22/1980,FALSE
560,Slovakia,9,MF,,VfL Boch,GER,12/16/1982,FALSE
561,Slovakia,10,MF,Marek Sapara,AnkaragÃ¼c,TUR,7/31/1982,FALSE
562,Slovakia,11,FW,,AnkaragÃ¼c,TUR,4/1/1982,FALSE
563,Slovakia,12,GK,,Dundee United F.C.,SCO,11/28/1984,FALSE
564,Slovakia,13,FW,,BeÅŸiktaÅŸ J.K.,TUR,1/17/1984,FALSE
565,Slovakia,14,FW,Martin Jakubko,FC Saturn Moscow Oblast (1946-2011),RUS,2/26/1980,FALSE
566,Slovakia,15,MF,Miroslav Stoch,FC Twente,NED,10/19/1989,FALSE
567,Slovakia,16,DF,,"Hannover ",GER,12/10/1981,FALSE
568,Slovakia,17,MF,,S.S.C. Napoli,ITA,7/27/1987,TRUE
569,Slovakia,18,FW,,1. FC Kaiserslaute,GER,10/26/1986,FALSE
570,Slovakia,19,MF,Juraj Kucka,Sparta Prag,CZE,2/26/1987,FALSE
571,Slovakia,20,MF,Kamil KopÃºnek,FC Spartak Trnava,SVK,5/18/1984,FALSE
572,Slovakia,21,DF,,Å K Slovan Bratislava,SVK,1/4/1985,FALSE
573,Slovakia,22,DF,,A.C. Cesena,ITA,11/2/1979,FALSE
574,Slovakia,23,GK,,FC Vasl,ROU,5/21/1985,FALSE
575,Brazil,1,GK,,F.C. Internazionale Milano,ITA,9/3/1979,FALSE
576,Brazil,2,DF,Maicon Sisenando,F.C. Internazionale Milano,ITA,7/26/1981,FALSE
577,Brazil,3,DF,LÃºcio,F.C. Internazionale Milano,ITA,5/8/1978,TRUE
578,Brazil,4,DF,Juan Silveira dos Santos,A.S. Roma,ITA,2/1/1979,FALSE
579,Brazil,5,MF,Felipe Melo,Juventus F.C.,ITA,8/26/1983,FALSE
580,Brazil,6,DF,Michel Bastos,Olympique Lyonnais,FRA,8/2/1983,FALSE
581,Brazil,7,MF,Elano,Galatasaray S.K. (football team),TUR,6/14/1981,FALSE
582,Brazil,8,MF,Gilberto Silva,Panathinaikos F.C.,GRE,10/7/1976,FALSE
583,Brazil,9,FW,,Sevilla FC,ESP,11/8/1980,FALSE
584,Brazil,10,MF,,Real Madrid C.F.,ESP,4/22/1982,FALSE
585,Brazil,11,FW,Robinho,Santos FC,BRA,1/25/1984,FALSE
586,Brazil,12,GK,Heurelho Gomes,Tottenham Hotspur F.C.,ENG,2/15/1981,FALSE
587,Brazil,13,DF,Daniel Alves,FC Barcelona,ESP,5/6/1983,FALSE
588,Brazil,14,DF,,S.L. Benfica,POR,2/13/1981,FALSE
589,Brazil,15,DF,Thiago Silva (footballer),A.C. Milan,ITA,9/22/1984,FALSE
590,Brazil,16,DF,Gilberto da Silva Melo,Cruzeiro Esporte Clube,BRA,4/25/1976,FALSE
591,Brazil,17,MF,,VfL Wolfsbu,GER,7/19/1979,FALSE
592,Brazil,18,MF,Ramires,S.L. Benfica,POR,3/24/1987,FALSE
593,Brazil,19,MF,JÃºlio Baptista,A.S. Roma,ITA,10/1/1981,FALSE
594,Brazil,20,MF,,Clube de Regatas do Flamengo,BRA,6/19/1979,FALSE
595,Brazil,21,FW,Nilmar,Villarreal CF,ESP,7/14/1984,FALSE
596,Brazil,22,GK,,A.S. Roma,ITA,10/22/1979,FALSE
597,Brazil,23,FW,Grafite,VfL Wolfsbu,GER,4/2/1979,FALSE
598,Korea DPR,1,GK,Ri Myong-Guk,Pyongyang City Sports Club,PRK,9/9/1986,FALSE
599,Korea DPR,2,DF,Cha Jong-Hyok,Amrokgang Sports Club,PRK,9/25/1985,FALSE
600,Korea DPR,3,DF,Ri Jun-Il,Sobaeksu Sports Club,PRK,8/24/1987,FALSE
601,Korea DPR,4,MF,Pak Nam-Chol (footballer born 1985),April 25 Sports Club,PRK,7/2/1985,FALSE
602,Korea DPR,5,DF,Ri Kwang-Chon,April 25 Sports Club,PRK,9/4/1985,FALSE
603,Korea DPR,6,MF,Kim Kum-Il,April 25 Sports Club,PRK,10/10/1987,FALSE
604,Korea DPR,7,FW,An Chol-Hyok,Rimyongsu Sports Club,PRK,6/27/1985,FALSE
605,Korea DPR,8,DF,Ji Yun-Nam,April 25 Sports Club,PRK,11/20/1976,FALSE
606,Korea DPR,9,FW,Jong Tae-Se,Kawasaki Fronta,JPN,3/2/1984,FALSE
