rowNumber,001236,Kansas1324,Expires1091,001298,001068,991062,001267,file_name,2701270,Listings1232,Description1191,Send0933,Citori1239,Copyright1423,0003,set1328,Kansas1294,Boots1331,Reduced1301,Kansas1264
0,235 65 17 Goodyear Tracker tires Pair,45,804,15 inch wheels and tires,McCracken,60,21x9x8 Offroad Knobby Tires for Kart Minibike Lawn Equipment,AC1579658229A39C67D773455D695172CBB851F2F642F773DD0C12B7D8929CE2.html,McCracken,100,(2)Tires 235-R55x17 Goodyear RSA mounted on 5 bolt with4 1/2 pattern steel factory wheels. Will consider trade. Call 785-394 1886 or 1887 about 1/2 tread remaining on tires Balanced ready to use on most Ford and Chrysler products.,davestuff,Hoisington,2015,USED $200 Tires 235-R55x17 w/wheels .,Just one Factory aluminum rim and 235-75-15 tire,20,Galv,Palco,50.00 each
0,1992 Ford Ranger 2 wheel drive,"26,500",515,1994 ford f150 2wd,,"2,500","ford, F250, 1997, 7.3 liter diesel, 4 wheel drive,",B20D5CC4F08DCB2914E64EE10CB36296ECEED50676181C12865F1128E20490E0.html,"Fargo, Oklahoma                 $1,500.00   1994 ford f150 2wd   Hill City","3,500","Nice 1997 Ford F150 2-wheel drive. Runs good. Great on gas. Would make someone a nice truck. 176,350 miles. Needs a battery. $2500 Cash. (308) 999-0812.",jayne,Belleville,2015,1997 Ford F150 2-wheel drive. Great on gas.,2010 Ford F150 FX4,"1,500",Atwood,Hill City,"10,000.00"
0,Sure-Loc Xpress bow press,400,106,21 New press wheels and brackets,Phillipsburg,100,Sterling Bench Drill Press,B972EDF78703E2A85A7A7869F183B8EE526AE18B0996E310A43072B991E48C57.html,Minneol,225,,gcwickham,Salin,2015,Pacific Single stage press,24 2 stage snow blower thrower rebuilt repaint 196cc 6.5HP,85,Goodland,Glen Elder,100.00
0,Gibson-Yamaha rhino exhaust,"2,050","1,197",Yamaha Rhino Bumper,Glen Elder,"10,000",2011 Yamaha Rhino,B9F280A0EF690E2CFBD362C26EA938EE07F8E791B71BAC48F6AEC7E9BE9F1F61.html,New Cambri,250,"2012 yamaha rhino 700fi sport edition, like new, very good shape, it comes with a windshield, adjustable shocks, loaded, i also added 3 more lights on the grill gaurd, only 940 miles, 89 hrs, wont find one nicer. call 785-545-8512 for more info",yote7,Goodland,2015,Yamaha Rhino,2007 Yamaha Rhino 450 4x4,125,Wichit,Lenor,"6,500.00 each"
0,Formal Dress or Mother of the Bride Dress,20,852,Formal dress,Hays,35,Formal Dress,BF40406CCB48D07BFD2DB1C66E304869694755B85FBA1B9BCEDEDCEB18BAE786.html,Hays,35,,648658,Hays,2015,Formal Dress or Mother of the Bride Dress,Alfred Angelo Mother of Bride Groom Size Misses 8 - LOWERED!,15,Great Bend,Hays,30.00
0,WTB small podium or lectern for a teacher.,5,78,Teachers Rule Picture Frame,94 Lewis Drive   Hays,0,Parents As Teachers,C1D2A738D7D6AE1FB23E013BD071343601416D55C1654BFC5348F8A385B7A001.html,Smith Center,0,"EARLY CHILDHOOD   TEACHER.  The Hays Area Childrens Center is hiring a full-time Early Childhood Teacher for our Toddler Classroom. 12 month position: Monday through Fridays from 7:30 a.m.  3:30 p.m.  Qualifications: High School Diploma or equivalency required. Child Development Associate, Early Childhood Associate, Early Childhood Unified or classes in elementary education or early childhood preferred but not required. Must be willing to obtain one of the preferences listed.   Apply at 94 Lewis Drive. Open until filled. EOE","Hays Area Childrens Center, Inc. (HACC)",Hugoton,2015,Early Childhood Teacher,1913 Calendar School Teacher  Children,5,Hays,Hays,5.00
0,Doolittle 60x8 Utility Trailer,"1,395",526,Utility trailer,1120 S. Cedar   Stockton,"1,999",2015 Doolittle 8420 CF Car Trailer,C1E37F5C7EAD7E3DCE7BD8D205EC25AAAE6364E1F182AC648218F6570D64E6B1.html,Stockton,895,"New 2015 Doolittle 84x14 SS series utility trailer.   2990 GVWR 5 Mesh ramp gate with spring assist. Full LED lighting, Radial tires. Locking Toolbox built into tongue. 6 heavy duty D-rings inside trailer. Top of the line utility trailer!  More pics at www.BradWallerAutomotive.com",Brad Waller Automotive (BradWallerAutomotive),Stockton,2015,2015 Doolittle 8414 SS Series Utility Trailer,2015 Utility Trailer 14 x 6 w/Fold Down Ram,500,Solomon,Garden City,"2,955.00"
0,568 John Deere Baler,550,159,John Deere 346 baler,Edson,"22,000",John Deere 535 Baler,C2BB35FFE33D045AD1699D02C35215CC77CF3F0C4C16D057D1DA44B8DCB01B5C.html,Kiow,"19,900","2009 JD 568 Mega Wide, HYD LIFT, PUSH BAR, SLIP CLUTCH ALERT, HI-FLOTATION TIRE Wrapping: Both Twine and Surface Wrap.   Only 7,446 bales  $22,000 OBO",bulldog28,Johnson,2015,2009 John Deere 568 baler,John Deere Hydralic Cylinders,"5,000",Colby,Cub,"7,500.00"
0,28 Gauge BenelliLegacy Shotgun,40,42,Rare Vintage Hiawatha Airway 12 Gauge Shotgun Shell Box,Great Bend,,Tristar Viper 20 Gauge Shotgun,C5AC8FC7A86AA9867E31F5B455BE129DFF434C9450D8C5E2FA95F840BB7C879A.html,Colby,"1,750",,ESPChevy,Hays,2015,20 gauge shotgun shells,1 Vintage Revelation 12 Gauge Shotgun Shell Box,150,Sharon Springs,Sharon Springs,475.00 each
0,FREE CAT TO A GOOD HOME!!,,71,2 free declawed indoor cats,316 E. 6th   Hays,20,Cat Stuff - 12 pc Set,CF612A02807FCD474BB342EC5CF74CBCFD91FF50A00E407D1945340BFD187F78.html,Lincoln,,"I recently moved out of my dads house and the place I am now dosent allow cats. His name is destry hell be 7 months old on the 11th of October. Hes not fixed and still has his claws. He really likes to play and cuddle people. He dose not like baths at all. Hes eats any kid of cat food. Hes an inside cat but likes to explore the outside when Ive let him out. If you want him he comes with 2 leashes, a hide away cat thing, a litter box, a half full thing of fresh litter, a carpet for under neath his litter box, a whole thing of scentsy stuff for his litter box, a half full bag of cat food, 2 food dishes(also for water),2 beds, cat shampoo, flea spray, cat nip, a bunch of toys, a scratching post, 2 brushes, a nail clipper for cats and treats that help his teeth. He also has a collar on. He really needs a home as quick as possible.",15aziegler,Hays,2015,Cat needs an home,Missing cat,,Hays,Hoisington,7.50 per set
0,VHS Tapes,5,3,Hitachi VCR and VHS movies,610 Summer Avenue   Morland,25,VHS Tapes - Children,D030EF1EABE485D0449AAD316E08C51D3B0EC05AACCDAB48BF455ECF0501260D.html,Hays,2,VCR works but has no remote and all vhs tapes work selling them all together,KariRBell,Hays,2015,vcr and vhs tapes,REDUCED: VHS Tapes,50,Victori,Phillipsburg,0.50
0,Table  Chairs,195,259,Outdoor Table and Chairs,P.O box 54   Goodland,550,Table  5 chairs,D2C0FFD4A095B31E9BCEA95D46F4E8417B19D0473A75435CE2A4AFC447B65A04.html,Hays,375,"For sale (10) folding white tables 6 and (70) brown folding chairs, take all for $550 or best reasonable offer.",Hildadrm77,Goodland,2015,Tables and chairs FOR SALE,SOLID OAK TABLE AND CHAIRS,100,Victori,Salin,25.00
0,Larson boat,"1,000",171,1998 Ford Ranger,Ellis,"9,200",1998 Polaris Trail Boss,D3AE991FB0E1961AC48C75F41E6404FA7B0B02406A5A7E371AA2639FFE20E6A7.html,Colby,"7,500","I have a nice 1998 larson boat for sale. It has the v8 5.0gi volvo penta motor that is fuel injected. Wakeboard tower with rack, 2 batteries with perka switch, aftermarket stereo (2-12 subs/tower speakers/ 6x9s and 5 speakers/ 2 amplifiers). Just had all the seats redone so Interior is excellent shape. Trailer is tandem axle. Also life jackets,wakeboard,tube, and other misc. to go with. Boat has been great , just no longer make it to the lake. Hopefully someone else can enjoy it. Any questions, feel free to message. Thanks for looking",devins2231,Great Bend,2015,1998 Larson 206sei,1998 Honda XR 100,"1,200",Holyrood,Saint Francis,"1,500.00"
0,Womans dressy t-shirt,5,52,Dressy shirts,Salin,,womans t-shirt,D471EDE6A47FB88E1A45E6DA6E45BA611B70A15F32203C3A8CE30B4C89254E26.html,Salin,"3.50   Womans dressy t-shirt   Salina, Kansas                 $3.50   womans t-shirt   Salina, Kansas                 $5",Jones New York sport floral t-shirt. cotton/spandex. 3X. Runs slightly small. Excellent condition. Smoke free home.,kayk,Salin,2015,Womans dressy floral t-shirt,Womans striped shirt,5,Salin,Hays,3.50
0,"JD 730, W/1900 AIR SEEDER, W/ 44 F CULTI. W/JD 455 DRILL.","125,000","1,459",AL; Grain Cart 425,Phillipsburg,"18,500",Air seeder fertilizer tank,D510EF0DA2BC0FA4B07FB7F6EFD5A7B387CA528A813CEA9E0CE34E364C090816.html,Gem,"31,000",,cruise4fun,Assari,2015,Hiniker 4836 Soybean/Wheat air seeder and Cart Grain Drill,2012 John Deere 1830 hoe drill/air seeder/1910 air cart,"3,500",Winon,Dresden,1.00
0,COOKS,0,532,Cattle Distribution Assistant at Progressive Feedlot in NE,Hays,0,"Assistant manager, cashier",D6E91A21801BA842B8F54AEE5ED264464194F08811B4C323784EE24F70BD53EF.html,Colby,0,Assistant Cook Positions available for the 2015-2016 school year . PERFECT job for parents that want to have the same schedule as their kids!!!   Apply on line at usd489.com -- Employment Link,USD 489 Hays (usd489hays),Oakley,2015,Assistant Cook for USD #489,Food Service Assistant,0,Jetmore,"Broken Bow, Nebraska                 $0.00   Food Service Assistant   Jetmore",0.00
0,2010 Nissan Altima 2.5,"9,750",338,2012 Nissan Altim,Holcom,"10,500",2013 NISSAN ALTIMA SL,D708F325C10C00549CBCB1E0E40411DE348A2C6867999AC70547FC9920F579E4.html,Hays,"13,500",,Rickyx4,Colby,2015,2010 nissan altim,2009 Nissan Altim,"13,500",Phillipsburg,Dodge City,"21,995.00 each"
0,Dress,15,340,Dress,Hays,30,Dress,DABA8DD63DFDBE06D1A9F25301ED617BBDDDD38D06847CB364980E77048ECF93.html,Hays,40,Party dress. Beige. Size 8 girls,Elizabeth23,Hays,2015,Dress,Dress,15,Kingman,Hays,10.00
0,"Prairie Hay - Large Rounds, Net Wrapped",50,95,Grass Hay Bales,Galv,40,Net Wra,DAED71363E474955FA74DDC30650F1C614B487991D9C45136278F56EF9C6FB35.html,Sylvan Grove,50,Net wrapped praire hay bales 5 bales. Bales put up dry and no rain on them. Can load semi.,jamand,Derby,2015,Net wrapped praire hay bales,Round Bales of Prarie Hay 30 2015 Cutting,85,Morland,Colby,200.00
0,vintage avon bottles,3,6,Avon,Ellsworth,4,7 UP bottles,DBFD6655249280ABACC1AF106B5048CC45783E7DE31D4051628678CDE7354F1E.html,Osborne,0,$4.00 EACH OR $24.00 FOR ALL ----SOME OF THEM STIL HAVE PERFUME IN THEM,Dorcy,Hays,2015,7 AVON BOTTLES,Avon,0,Liebenthal,Radium,5.00 each
0,OCEAN SCENE OIL ON CANVAS,60,458,STUDY IN FLORALS #1 by LINDA,"864 Moscow, MUNJOR   Hays",10,OIL ON CANVAS SOARS WITH EAGLES ALICE MUNSON,DE45B8E8A2B2B2B89683CE8BFD95DDC5D0B1B5BFE270293DA82076139BA04D7D.html,Hays,15,NICE FRAMES OIL ON CANVAS FLORAL PAINTING BY LINDA  8 X 10,skorky67,Hays,2015,FLORAL OIL ON CANVAS,Painting on Canvas,15,Goodland,Hays,30.00
0,MOBILE SHOP TRAILER  SNAP ON TOOLS (OCT. 10),0,214,"REAL ESTATE, SHOP  COMMERCIAL PAINT AUCTION (10/7)",1001 South Washington   Plainville,0,"214 E 20th - OPEN HOUSE SUN 27, 2-4",E0CD0D3687975A7B029DFA330BB2125937CE70CDE3D20B5FFFDB4E69EFBA6D6F.html,Hays,0,"Consignment Auction, Sunday, October 4, 2015, 10:30 a.m. ACL, Plainville      Auctioneers Note:   Dont miss this one as there are some really unique retro, vintage and antique items including tin ceiling tiles, gas station display cabinets, lumberyard revolving nail/bolt bin display. There is also collectible glassware, primitives, furniture, household goods and tools! Something for everyone! Open House on Saturday, October 3 from 10  2 p.m. Absentee bids accepted.  For more pictures: https://phre.smugmug.com/CONSIGNMENT-AUCTION-SUN-OCT-4/    FURNITURE  : Oak Round Pedestal Table with 4 Chairs, 2 Blanket Chests, Queen Bedroom Set with Dresser, Armoire, 2 Night Stands, Jewelry Armoire, Roll Top Desk with Display, Couch and Occasional Chair, Wooden Dining Room Table, Chairs, Occasional Tables, Elec. Range, 10 Gun Cabinet w/Etched Glass Doors, Double Bath Vanity, 2 piece Bar Set, 4 Drawer Metal File Cabinet, 2 Drawer Metal File Cabinet    PRIMITIVES, RETRO ITEMS  : Oak Curved Glass China Cabinet, 3 Metal Retro Lawn Chairs, Vintage Wooden Lift Top Desk/Podium (Used in Hardware Store), Fairbanks Morse Floor Radio, Philco Floor Radio, Farnsworth Floor Radio, Motorola Floor Radio, Timex Lighted Revolving Floor Display Case, 2  24 Drawer Metal Bin Boxes, Pedal Grinding Wheel, Singer Treadle Sewing Machine, Student Desk, Autolite 6 Door Locker, Wix Metal Filter and Oil Cabinet, GE Motors 5 Shelf Stand, 48 Bin Wooden Case, 2  21 bin Wooden Cases, 5  27 Bin Wooden Cases, 2  30 Bin Wooden Cases, Vintage 5 gal. Carboy Jar in Original Crate, Antique Humpty Dumpty 1902 Wooden Egg Carrier, Vintage Cast Metal Notary Embossed Stamp, Hay/Ice Tongs, Wooden Plante, Stained Glass Rope Glide Window, 1940s Leather 3 pc. Luggage Set, Military Wooden Cannon Ammo Crate with Rope Handles, 1944 Original WWII Good Conduct Medal in Original Box  PA Quartermaster Depot, Set Pool Balls, Seth Thomas Mantle Clock, Ansonia Mantle Clock, 2 Vintage Oak Rockers, 2 Oak Occasional Chairs, 2 Vintage Parlor Chairs, 6 Queen Anne Chairs, Retro Black/White Glass Picture Frames, Folding Room Screen, Vintage Tin Ceiling Tiles and Border, Vintage Kerosene Heater, Vintage Floor Lamp, Vintage Pictures, Teapot Collection    COLLECTIBLES  GLASSWARE  : Old Country Rose Royal Albert Bone China 1963 8 place setting, Beroque Blue by Daniele Fine China Japan 14 place setting with completer pieces, Bavaria 12 place setting China, Several Pieces 70s Blue Carnival (Pitcher, Goblets, Glasses, Covered Compote, 2 Fruit Dishes), Several Pieces Pink Depression (Relish Dish, Serving Bowl, Biscuit Jar), 1922 Almanac, Vintage Books, 3 Boxes Albums (some Elvis), Crocheted Queen Size Bedspread, 10 MIB Barbie Dolls, New Gold Plated Silverware in Wooden Case, Embroidered Pillow Cases and Tea Towels, Ladies Handkerchiefs and Gloves, Small Japan Canister Set w/Flour, Sugar, Tea, Coffee, Nutmeg, Cloves, Pepper Allspice, Wooden Book Holder, Wooden Stool, 70s Gold Carnival, Amber Carnival, Hull 8  Vase, Hull W-12 9  Jardiniere, Glass Punch Bowl w/10 cups, Pink Pottery Pitcher, Flower Pitcher, Ty Bears, Ty Beanies, Vintage Alarm Clocks, Manual Typewriter, Liquor Bottle, Vintage Greeting Cards, Political Buttons, First Day Issue Stamp Envelopes including JFK, Baseball Cards, Chenille Bedspread, Pocket Watch, Costume Jewelry    TOOLS AND ELECTRICAL SUPPLIES  : Champion 10,000# Winch, Wall Heater, Paint Shaker from Hardware Stores, 4 Shelf Wire Garage Rack, Many Spools of Wire, Copper, 2 New Main Breakers MIB, 3 Square D Breakers, 2 Square D Main Circuit Breakers in Boxes, Conduit Connectors, Plates, Switches, Wall and Ceiling Boxes, Junction Boxes, Ballasts, Fuses, Outlets (one row of electrical supplies), Pressure Washer, Hand Tools, Scroll Saw, Lathe    HOUSEHOLD AND MISC  . Dreamsicle Figurines, Wicker Baskets, Afghans, Sheets, 100 DVDS, VTech Phone System, Bed Sets, Nintendo DS, Toys, Christmas Decorations, Kids Book Sets, Dehydrator, Pressure Cooker, Batter Bowl, Wire BBQ Racks, Pots and Pans, Lamps, New Box Paint Balls, Homedics Massager, Desktop Scanner, Little Tikes Picnic Table, Knives, Blankets, Figurines, Dishes    SPECIAL  Pride Victory 3 Wheel Scoot Around       Auction Conducted by: Prairie Heritage Auction and Real Estate, 1001 South Washington, Plainville, KS Susan Stahl, Auctioneer 785-608-6683      Auction Crew: Sheila Hachmeister, Lora Weigel, Paula Glick, Kelly Lowry, Tammy Werner, Steph Nuss, Gwendolyn Hitchcock",Prairie Heritage Auction and Real Estate (auctioncitylimits),Larned,2015,"CONSIGNMENT AUCTION, SUN. OCT.4, @ 10:30, ACL, PLAINVILLE",Twisted Sister Estate Sale. Sept. 30 and Oct. 3,0,Russell,Lyons,"186,500.00"
0,glass globes (set of 3),25,54,Party Lite Glass Globe with Brass Stand,Plainville,4,Watering Glass Globes (New),E4DDE23CA19F5EFBA748A3E8D0C6C3DC76877A0DC3A6A7B80BD72B0D469DC203.html,Hutchinson,5,Four globes off of ceiling fan. 785-434-6304. $4 for all. thanks for looking,baglady,Dodge City,2015,Glass Globes,Musical Snow Globe,5,Walker,WaKeeney,12.50
0,Mexican paper mache figures,8,137,Munsters action figures,Great Bend,35,Sculptured Moose figure on Wood,E55B54181F9AF2F78F81D6A3BA2F57939FB3D4346C2A08C8DDBE8A0752FFA427.html,Plainville,35,All 3 for $35,dmhejny,Larned,2015,Vtg Asian Figures,WR; BERRIES VINTAGE FIGURES,40,Hays,Russell,22.00
0,New Balance Shoes,0,157,Black Dress Shoes,902 State St   Ellsworth,50,Ladies shoes,E8C761DE9443892748A0C2D33EA8D0384498AFA9558096570F9764697F8042A3.html,Hays,5,Have a pair of Oasics size 9 1/2 mens Javoline shoes. We paid $90.00 for them Brand New.Our son only wore them once and are very clean inside them. Cleats and wrench are free with them.,hunter5t,Hays,2015,Oasiks Javoline Shoes,Cycling shoes and pedal cleats,3,Ness City,Hays,18.00
0,Vintage sewing machine,0,76,Large selection of accent tables,510 N. Front st   Russell,0,Vintage sewing machine,E9DFC2D8E23A59631630882E3BF9C00735A0CAF713DE27FA4C78F4015414F44E.html,"Cambridge, Nebraska                 $0.00   Large selection of accent tables   Russell",100,". Folding sewing machine table. Magazines. Old patterns. Thread cabinets. Viking machine. Vintage machines in cabinets. Lots of material boxes. Books. Lark. Singer. Some cabinets quite ornate. Will be selling at Twisted Sister Estate Sale. Estate of Lois and Kent Lapham. Sat. Oct 3. 8am-3pm. 510 N. Front street. Russell, Kansas. Check out other items selling under estate sales. For more information or flyer contact. Linda twistedsistersest@gmail.com. Not an auction everything will be priced wed and ready to sell",TWISTED SISTER ESTATE SALEs (Linda1),"Cambridge, Nebraska                 $125.00   Vintage sewing machine   Cambridge, Nebraska                 $0.00   Large selection of accent tables   Russell",2015,Sewing machines vintage and modern,Bedroom sets Dressers,0,Russell,Russell,125.00
0,2004 25 Ft Wildwood Fifth Wheeler Camper 25RLSS,100,85,fifth wheel hitch,Great Bend,"15,000",2004 Wildcat 5th Wheel RV,E9E3F2E1E7517225A9FD2E7A6D8C007E2D0CA2F44F6E8B38C635BA29A873D812.html,Lakin,"8,950","ROOM FOR EVERYONE !! 2004 NEW VISION FIFTH WHEEL , SLEEP 6 HAS 2 SLIDES AND A SLIDE THROUGH STORAGE COMPARTMENT , OUTDOOR SHOWER AND AWNING IS IN EXCELLENT CONDITION , TIRES ONLY HAVE 700 MILES ON THEM AND BATTERY IS 2 YEARS OLD . ASKING 15000.00 WELL BELOW RETAIL !",teffanie,Greensburg,2015,2004 new vision fifth wheel,fifth wheel gooseneck tailgate,200,Larned,Prairie View,"12,500.00"
0,2006 Harley Davidson FLHTCI Electra Glide,"12,995",432,2008 Harley-Davidson Street Glide,103 E. Hwy 36   Smith Center,"5,495",2001 Harley-Davidson Electra Glide Klockwerks Bagger,EAE716DE437D759D5F81702B9DA5EBDE2D8DE15A01BB456166BB596F34BC95E8.html,Smith Center,"8,000","Heres a older Harley Davidson Electra Glide Ultra Classic that looks like a Street Glide. Two tone paint, almost new tires, fairing and windshield, docking hardware for tour pak and sissy bar with luggage rack, cruise, stereo, tons of upgrades in chrome, Satelite radio, EVO 80cu engine, 90th Anniversary bike, great tires, Mustang seat, lite bezels, windshield bags, true dual exhaust, and chrome bag gaurds! If you are wanting a cool touring bike or want a Street Glide but dont want to spend $20000 then you need to come by and check this one out! You can own this bike at Sportster price!!!!! Hurry, it wont last long!   79,000 miles   CREDIT CARDS ACCEPTED!!  DO NOT SEND E-MAILS OR TEXT!!! CALL: 785-686-4299 CALL FOR MORE INFORMATION: DEALER CHECK OUT OUR WEBSITE: www.frielingautosales.com",Frieling Auto Sales (jbaetz),Jennings,2015,1993 Harley-Davidson Electra Glide Electra glide,2006 Harley-Davidson Street Glide FLHX,"13,495",Smith Center,Smith Center,"17,995.00"
0,Glass vases,10,73,Crystal table decor,1200 S. main street   Ford,15,Glass vases,EB145A1F214F6E9AE74816BDDE9A7C2563B0CF192E299594AA021C5FBBB9FF3C.html,Ford,3,,jesse_hayes69,Ford,2015,Glass vases,glass vase,10,Dodge City,Ford,5.00 each
0,JD 4560 tractor,"1,500",25,JD tractor,Hays,35,JD 8400,EE19AA486C4F709998C0809B83341970AEE8E262FF0F908D60D9E0D9C88B24E5.html,Coats,"38,000",John Deere Toy tractor. Calls only,mrfarmall,McPherson,2015,JD 5020,JD Round Bar Concaves,"12,900",Hays,Oberlin,"69,500.00 each"
0,Baby swings,20,14,Bright starts bounce bounce baby,Russell,30,Baby Swing,EEC055BD5DD7534CBED6F675ED05304E6A129097FD99578AE212C16F104D69F4.html,Gorham,40,"This particular swing has only been used for 4 months. It has a six-melody music player with volume control and auto shut-off, and an adjustable toy bar with two plush toys. It also folds easily for storage or travel. Its in perfect condition and have never had to change the batteries.",dwsmith,Hays,2015,Baby Swing (portable) by Bright Starts,Baby Play Mat by Baby Einstein,15,Russell,Selden,100.00
0,Electric Fireplace,150,170,Twin bed,Goodland,500,Hide-a-Bed Sof,F2E6A22309EC60C966AA549C4096332E2FC2133A13ED00D65C851A89D2B188B3.html,Goodland,50,"Extra Long Twin Niagra Electric Adjustable Bed. Comes with headboard, or you can use any headboard. Mattress is clean and in good shape. If interested, please call Sharon at 785-899-3462 evenings. Price Negotiable.",madmax30,Goodland,2015,Electric Adjustable Bed,Jenny Lind Twin Beds,75,Great Bend,Hays,50.00
0,Craze Mission by Mathews Bow,375,44,HELIM MATHEWS BOW!!,Oberlin,525,Mathews Apex 7 Target Bow,F499E1C3A650DE242A5BEEEB6610C286499DA2B86E1A909C2C0A73414C9402ED.html,Mullinville,600,Mathews Drenaline Bow with IQ rental lock 7 pin sights 29 inch draw and 70 lbs is where it is set at. Has a release and a shot blocker target that has been shot a few times.,Elcamino ss369,Lyons,2015,Mathews Drenaline Bow,Bow Tech Admiral,850,Scandi,Damar,250.00
0,Dodge Ram 2500 4X4 Diesel,"27,495",129,"06 RAM 2500 5.9 DIESEL 126K Miles 4x4, CREW CAB SLT 1-Owner",Great Bend,"18,000","!!!!! 2004 DODGE RAM 2500 LARAMI 5.9 DIESEL 4X4 !!!!!",FC40B5A2BD088828A055A0D04A7332227ED6233806C4EE2415FCC67EF23ECC25.html,Scott City,"15,000",,montymac,Garden City,2015,2006 ram 2500 diesel,(Reduced) 2006 Dodge Ram 2500 5.9L Cummins SLT Big Horn 4X4,"25,995",Hays,Plainville,"21,500.00"
