rowNumber,Price0797,file_name,0021,Seller0716,20150823,Copyright0951,Guns0565,Location0800,Rifles0572,Start0821
0,750,9292757EEFE61FC0EC4DA9831248ACDCA20FA6877C25EB99BC81E80371DD3723.html,Dan Wesson Model 715 Stainless .357 Magnum : Revolvers,skend,": 4  Early 80's model in like new condition. Original box, manual and barrel tool.",2015,Revolvers,Old Town,556389,"Nov 16, 2015"
0,0,93B2D8CCCBD03817A591D85E556DE4596283FC41E8AD295B32D6DE780B0B76DC.html,LWRC UPPERS AVAILABLE TO ORDER.... : Rifles,vmrod13,: 2   - IC-A5 AR PISTON UPPER 5.56MM 16IN BARREL 1:7 TWIST A2 FLASH BLK $1650.00 delivered.NEW   C-A5 AR PISTON UPPER 5.56MM 16IN BARREL 1:7 TWIST HI-EFF MUZZLE BLK 1600.00 delivered.NEW   AVALABLE TO ORDER ONCE PAID AND ORDERED THE UPPER WILL ARRIVED IN THRE DAYS.   PRICES ARE OUT THE DOOR.   CALL OR TEXT ME AT 786-246-2914   BUSS HRS ARE 10 AM TO 7 PM   NOB TO SAT   THANKS VICTOR,2015,Rifles,WEST PEMBROKE PINES,557166,"Nov 21, 2015"
0,595,93BFBAA4C3B59CCBD97653B0CDEA6A2D573A4D80F1A402884DE74A6125CAA2FA.html,FS/FT Springfield XDM 4.5 Bitone 9mm : Pistols,Samjax777,": 1   Looking to sell or trade an absolute mint condition Springfield XDM 9mm in 4.5"" Bitone.    Comes complete with XDM case, gear, book, mags, etc...   Low round count gun. Perfect all around.    $595   Trade Interests with added cash if necessary:   HK P2000 V3 9mm Full Size (not sk)   HK USP 9mm Full or Compact V1   Walther PPQ M2 9mm in 5""   Walther P99 AS 9mm   Smith  Wesson Pro Series/Performance Center 9mm   All trades must be in excellent condition and come with proper case, book, mags, etc...   email via this site or text offers/trades to: 727-637-4**6**4**1",2015,Pistols,Clearwater,556694,"Nov 19, 2015"
0,450,95013897E8C83B6EE6E1BADADFD217D7F1AA376DBA92CC2458445DEA716253A9.html,Remmington 597 22 Magnum : Rifles,user13138,: 2   Remmington 597 22 Magnum Rifle with Bushnell Legend Rifle Scope 5x15 AO Variable Mil-Dot   Excellent Like New Condition   Licensed FFL shipper available,2015,Rifles,Winter Haven,557440,"Nov 22, 2015"
0,0,950EEFEB81C6053840AEFF55F079BCAC3975703C6E99299A042067CDE95492A9.html,Colt series 70 1911 : Pistols,iad63,": 4  Colt 1911, series 70 .45 cal   Trade for FN 45 tactical or HK 45 tactical.",2015,Pistols,St. Lucie County,556043,"Nov 14, 2015"
0,600,953C8EAA019B04820D4ABA772DDDAB9E5E134F2C48370B4F715DCBA4E57906C0.html,Beretta PX4 Storm Type G (rare) 45cal. : Pistols,mac13,": 2  Beretta Storm PX4 Type G, Hard to find. This gun was made in Italy. I fired it once and it's been in my safe ever since. It has 2 mags, 9rd and a 10 , 3 back straps , cleaning kit and manual. This gun is Like New. Asking 600.00 obo. Thank You",2015,Pistols,Inverness,557459,"Nov 22, 2015"
0,0,957620C653EB3112804867AFC9A154F03D9855D93CEF6CD13FE4F511B0591FAE.html,FS PIG multicam rifle plate carrier with pouches : Other Items,Firefreak,": 2  Hello, I'm selling my like new Multicam PIG carrier. The carrier is a PIG brand along with the optional PIG side quick release side plate holders.  I also have multiple IFAK, mag, ect. Pouches for it as well if interested. They are TAG, Tactical Tailer and Blackhawk brand.  This system is NOT cheap Condor stuff. Condor serves its purposes I'm not knocking it. This carrier is $329 brand plus the side plate pouches. Then over $100 in pouches...  Asking $275 !!!! OBO for everything  Thanks  Mike  Nine54-591-5148  Text for faster response along with more pictures.",2015,,Coral Springs,556207,"Nov 15, 2015"
0,0,9A7F34B3D0BD97404CAE68A510555E17527368258F547C7475B29E308DA85FC6.html,WTT AR15 5.56 : Rifles,wclint30,: 2  Looking to trade my Ar Spikes Zombie lower Spikes lpk psa premium buffer kns pins Magpul furniture Upper is Psa premium upper bolt carrier is psa also barrel is a Spikes tactical mid length cromeline 1-7twist Yankee hill free float spector length rail magpul flip up sights 500rds thru this rifle in great shape looking for a nice AK47 or maybe a Ak74 located in S.Lakeland 33812 not looking to travel far or sell trade only text 863-409-4169 or wclint30@yahoo.com,2015,Rifles,Lakeland,556496,"Nov 16, 2015"
0,0,9D2BA8BF3D3E9677127661E7BA710677701FF5B54BBDB68E4A4B053809231E03.html,Remington 11-87 Sportsman Field 12ga : Shotguns,Xeddy21x,": 1  Very good condition 11-87 Sportsmans Field 12ga. Asking $580 OBO. Text only 786-317-0841 or email garcia.eduardo6@gmail.com  28"" barrel 3"" chamber 4 + 1 capacity Modified choke 2 3/4"" or 3"" shells",2015,Shotguns,Miami,557154,"Nov 21, 2015"
0,550,9D9FC02AD8CEFE534B5E3CEFCF5A8FD124FDCFD2B512F4B2AE2F1A86878B24E6.html,Marlin 336 jm cs 35 Rem : Rifles,lucyLOU,: 1  Marlin 336 jm cs 35 Rem lever Action remington micro grove remington very nice with base trade for shotguns 20 gauge side by side or 12 ga no crap handguns dan wesson either 357 9mm 44 magnum 40 cal 45 223 or ak 47 7.62x39 308 25-06 270 colt python good bear deer hogs gun also have ammo for money 550.00 dan wesson 10mm mm DAN WESSON wanted wsm ar 10 30-06 270 813-31O63-13 trade 550.00,2015,Rifles,Orlando,556562,"Nov 17, 2015"
0,"2,400",A27898629D9D742B0217C65B55AD3C346FDFA968ED23DDE440BB6543D7B49CA4.html,Savage 10P Precision Bolt Rifle : Rifles,JEDFFT,": 1     .308   5R Rifleing   20"" Barrel   Advanced Armament 51t Breakout Muzzle Break (Can quick attach a compatable AAC Supressor)   Tactical Bolt Knob (Savage Factory)   H-S Precision M24 Composite Stock (PST 114 in Olive color with black web) (QD Sling Sockets)   Harris Bipods   Karsten Custom Kydex Adjustable Cheek Riser (Model A)   Vortex Viper PST 6-24x50 First Focal Plane Rifle Scope (EBR1 retical MRAD)   Badger Ordinance 20MOA One Piece Base   Vortex Precision Matched Rings     The gun has about 600 rounds through it. Great groups with 175gr SMK. Need to sell a gun to build another. Comes with everything listed, also have original plastic Savage stock, scope box and parts.",2015,Rifles,Fort Pierce,557022,"Nov 20, 2015"
0,900,AB20CA0E4095A6A7AAEDFCD4A7E670DF390E7AD4D2B0B4A0C4D4E2CD464CD75F.html,THE HOG AR! 16 .300 blackout : Rifles,Yellowfin1990,": 2    16"" 300 blackout chrome moly barrel  PSA MOE lower  Magpul MOE stock  Magpul pistol grip  DT Upper  PSA premium full auto bolt with logo  Roush extended tactical charging handle  Custom muzzle brake  15"" key mod rail  Nikon 3-9x40 with box  2 pro mags  50 rounds 143gr hollow point .300  Rifle case  8139195188 Chris",2015,Rifles,Jacksonville,556763,"Nov 19, 2015"
0,0,AB94E565BF7F30FCBE90754CA06FEDC9D9D9F68BF4355C1A056300B6C5E489BB.html,Granite Fire pits : Other Items,snakegrips,": 1   Granite Fire Pits for trade for firearms, knives, or ammo in and around Tampa   I have a shop and will do 3cm Remnants for Baths, Fire Pitts, Desk, coffee table, and BBQ Grill Tops                                    Thanks for looking",2015,,Tampa,556745,"Nov 19, 2015"
0,0,ADFF811B5AFBB940485CDE4C6EEBFF12AC7A3CC8EA4C6A02EF9A79F53F3F0870.html,WTB SCCY 9mm in red frame : Pistols,1933kevin,: 1  I am looking to trade or buy a SCCY 9mm in the red frame. Please contact me if you have one available.,2015,Pistols,Tavares,555951,"Nov 14, 2015"
0,30,AF24D0EAF2F20CC2CAD71FCC3152FF5677668F5054EF2575389239890ED3C978.html,AR-15 Pistol buffer tube for a Sig Brace AR15 : Parts/Accessories,gunman,": 2   Selling a: AR-15 Pistol buffer tube pistol tube receiver back plate for the Sig Brace, This one has the raised front by the receiver to mount a Sig pistol stabilizer brace or you can use it alone, High quality made part that mounts solid to a AR receiver, Brand new condition never used or mounted, Extra not needed, $30.00 cash, Pick up in the St.Pete area,",2015,Parts/Accessories,Pinellas,555965,"Nov 14, 2015"
0,450,B1137CB7F0A77C70B91963E341FC8BA900DC25ACBE33CE2D286050AD1C5771FE.html,Glock 22 Gen 3 with hd night sights : Pistols,StangofSteel,: 2   I have a glock 22 gen 3 for sale I just acquired in a trade that I want to sell. Gun is in good condition that only has a small chip at the bottom of the grip. It doesnt affect the mag going in or holding the gun. Gun has hd night sights and 2 mags. 450 cash no trades.   Call or text 9045245931   Andrew,2015,Pistols,Jacksonville,556371,"Nov 16, 2015"
0,875,B122BCE8015655EDFA786F1EECF8CB6F5519754622D2FEB4B6C78985BF0628DC.html,SIG SAUER STX 1911 45 SEMI AUTO IN BOX FLAWLESS : Pistols,Skypilot,": 2  A Sig Sauer 1911 45 cal semi auto pistol the sought after STX MODEL, 2 tone, Black Nitron slide over s/s/ satin silver frame, Sig custom grips, NIGHT SIGHTS by Novak factory, test fired only, comes with 1 mag, in the box with book paperwork. One of the finest 45 pistols in the world. ftf sale Tampa areas, No shipping, trades??????????????",2015,Pistols,Land O Lakes,556192,"Nov 15, 2015"
0,60,B47CF4E9C698A48FD497F47ADC4C04124EC6292400C6FB5551B1B8E46C2776AE.html,daniel defense sight : Optics/Sights,wolf19r,": 1  New daniel defense fixed sight. Call, text or email 904-504-1047",2015,,Jacksonville,556963,"Nov 20, 2015"
0,675,B64C0CE7DF7AD8FCC9B3804F96601CB3DBF8F95662B522A6562A892682DF9900.html,Ruger Mini 14 : Rifles,user93586,": 2  185 series mini 14 with wood furniture and M1/M1A style peep sights that are elevation and wind age adjustable. This rifle is used, shows some wear but is in excellent condition. Not really interested in a trade, funding a new project.",2015,Rifles,Orange Park,556005,"Nov 14, 2015"
0,640,B67C6AEFFB0503D7EC3DD135AED19CCA00E524AA5A7D500500D475B31A106A7F.html,Sig 229 : Pistols,tuckerelectric,": 1  Sig Sauer P229 Equinox, .40s DA/SA with tritium fiber optic sights. Includes factory case and two 12rd factory magazines. Only 20 rounds fired.  $640 FL DL and bill of sale required, CCW preferred.",2015,Pistols,Vero Beach,556518,"Nov 17, 2015"
0,0,B734575913AEE121AACC10A9849F28CA4FD498562FE4A0A99CA7DCA38D2F5A52.html,Glock 26 Gen 4 : Pistols,cipher727,": 1  I Want To Trade A Gen 4 Glock 26 For A Gen 4 Glock 19 (2) 10 Round Magazines. 1 Pearce Grip Extension Case, Lock, Paperwork, 4 Backtraps & Test Shell Included  Text 407-489-0855 For Quick Reaponse. I Have A CWP FL ID / CWP Required For Bill of Sale. Must Be 21. No Felons",2015,Pistols,Oviedo,556716,"Nov 19, 2015"
0,0,B765312818351E0DA65D87858E44F4DEBBCDD32CBC7B982E0508F096D065F7F9.html,HUGE SALE UNTILL BLACK FRIDAY!! 15%-25% : Rifles,AnythingPawn,": 3     Anything Pawn  Auction is at it agian!       This time with a 25% off sale on ALL Bows and Muzzle Loaders!       and up to 15% off ALL Rifles, Shotguns, and Handguns!!!!!!       Hurry in to get the best deal on the firearm you have had your eye on! The sale will go on untill Black Friday (Friday November 27th)        Dont forget to bring the wife with you! We also have a huge selection of jewlrey to keep her occupied while you shop for your new gun!       We also do Gunrepair and Customization!       Anything Pawn  Auction        297 West James Lee BLVD 32536       Crestview, FL        (850) 682-8888",2015,Rifles,Crestview,555802,"Nov 17, 2015"
0,105,B8A116B797FB926DF84239039FA8A0AAB0514C9B60CC3D3E93363B147249D455.html,.308 WIN Federal Power Shock Ammo : Ammunition,cmontero,: 1   140 rounds of .308 Federal Power Shock ammo for $105. That's $15 per box of 20 rounds. Message me via Fl guntrader or text.me at 904-651-3301.,2015,,Jacksonville,556294,"Nov 15, 2015"
0,550,BB4F1F7067497F6CD78531EC7F33F1D5391ADF62A8601DB54480763B03217D4F.html,Ruger .357 blackhawk SS : Revolvers,Tractor service,": 2  Ruger .357 magnum blackhawk stainless steel with 6 1/2"" barrel. Gun has only been fired less than 20 rounds. Gun is like new comes with factory hard case all paperwork. And 2 boxes of Hornady ammo. Call or text 772-643-0080 $550 obo must be 21 or older with valid ID",2015,Revolvers,Vero Beach,557476,"Nov 22, 2015"
0,700,C3D912062C8ED15810E6D66752DB3E61CB956D23A560C8F637D0567C82B6D114.html,SW mp sport 5.56 unfired with extra goodies : Rifles,paul10491,": 2  Bought this rifle a few months ago and right away bought a few add on's. Never got around to shooting it, and pretty much just want some extra cash. I don't much about AR's but I'm sure you would be able to see the extra add on's. I have the original receipt with all the upgrades and tax it ended up costing me around 950.00 I'm pricing this to sell asap, also come with two P mags and 60 rounds of 5.56. Please call or text anytime asking for 700.00  Paul 407-506-8834",2015,Rifles,Kissimmee,556261,"Nov 15, 2015"
0,300,C4E4E3EEC463609D3FF94F30E8128CC99FAD83DAEF03B16C732513738948B08F.html,TAURUS 22 MAG. REVOLVER-8 SHOT : Revolvers,noducky,": 1  TAURUS MODEL 941-4"" BARREL WITH A 8 SHOT CYLINDER, ADJUSTABLE SIGHTS, RUBBER GRIPS. BOX AND HAMMER KEYS INCLUDED.LIKE NEW, TEST FIRED ONLY.",2015,Revolvers,Marco Island,556256,"Nov 15, 2015"
0,"2,500",CC3487C90787A9DC0991141039B4F39EFCDB5BDD273750BA9376D6F872013A8B.html,Colt Python Revolver 6 inch : Revolvers,harley2003,": 1  For sale is a very nice Colt python 6"" barrel, royal blue from the factory. The front sight has been cut in half with an attempt to make a fiber optic red sight ( see photos). The gun is in super great shape, no rust, no hoslter wear. You will not find a better gun anywhere in this condition. So come get it before it is gone. These guns will continue to go up in price.Obo",2015,Revolvers,Ft Pierce,556077,"Nov 14, 2015"
0,50,CE3973B85EA21E8CCD06F69564918510E0C93151F9C02E3919294119EC74BA20.html,MISSION KNIFE : Other Items,skydiver3,": 1  Brand new, never used MPT-A2. To be honest, I don't know if this is original or clone.",2015,,Orlando,557504,"Nov 22, 2015"
0,400,CF7AC1086739D5C6DFBD66F5017F69CDC6CA0419AA5AF74D341BCB83EFB3BFAE.html,Sig P290RS with Night Sights : Pistols,DangerDave,": 2  Sig P290RS with night sights in original box with de santis pocket holster and all factory equipment (1x 8rd, 1x 6rd mag, holster, disassembly tool and gun lock). $400 obo or trade for ???",2015,Pistols,Merritt Island,556251,"Nov 15, 2015"
0,20,D197D5FE868D1BC55A65A01D7A180467B4E06F87AAC8CE28E15B2E9A019D806E.html,"American Eagle 40 SW 165gr, 1 box for sale $20.00 : Ammunition",user44872,": 1  For sale American Eagle 40 SW 165gr FMJ, 1 new box (50rds) for sale $20.00.",2015,,St Petersburg,556416,"Nov 16, 2015"
0,20,D57FC6ACF81223014494A6E2F318B5132D6BBCEE5FAC42C148C50ADE999BC1B2.html,SKS 40 round mags : Other Items,jerlon26,: 1  I have 2 brand new never used or loaded... Don't need them anymore...,2015,,Daytona Beach,557037,"Nov 20, 2015"
0,425,D6B04448A451BC959439370FAF20BD81D92368567E658C6DB4DD6F57A25EC6D5.html,Taurus PT1911 45acp : Pistols,Rubinon,": 1  Excellent condition, two mags, factory case and all paperwork. Will also consider trades for a 9mm, preferably a carry size. Meet in Land O Lakes, Lutz, or N Tampa. Text (813)323-3682",2015,Pistols,Tampa,556387,"Nov 16, 2015"
0,400,D9399E079E0B751601EA884510D590B936EEA8F817E53704059E70CA607EFFB4.html,Vintage HR .22cal Revolver : Revolvers,billinnpr,": 2   I am selling a beautiful Vintage HR .22 cal revolver . Its the 999 ""Sportsman"". There has been less than 50 rounds thru this gun and it is in like new condition.   I am not looking for a trade .",2015,Revolvers,Palm Harbor,556309,"Nov 15, 2015"
0,18,E25832E77ED66EAAC1B0E35BC20CE767B7F0E3A2597087E9D6E97365DF6270BA.html,new 308 caliber ammo : Ammunition,mrspeedking,: 1   selling federal 20ct boxes brass 150gr bullets $18/box have 20 boxes,2015,,Mtverde,557510,"Nov 22, 2015"
0,550,E509AB402F2E680AE4818A817603520780F2F89EB154EFC1AFADB1A70B6BEB8B.html,HK P2000SK V3 Compact Decock Model 9mm : Pistols,mpsniper308,": 2  Like New/unfired with all factory equipment, 2 mags with pinky extensions, and a FIST IWB Kydex Holster ($50.00). Comes with 100rds of ammo/  I also have a Crimson Trace Weapon Light Attached for additional $75.00  Cash Price is Firm!!!  Your trade must value $750 or more on a fair market.  Must sign a bill of sale and not be prohibted from owning a firearm  Text is best, don't anser emails.  352-603-17 nine one",2015,Pistols,Tavares/Deland,556409,"Nov 16, 2015"
0,0,E62C48A36761C5A8B3E08F38938FBB25370157FDCBE4E32D958F1DC91505DC6D.html,Smith wesson 1911 sc : Pistols,tjm9746,: 1   LNIB 950 CASH   TEXT 772 607 2748 ANYTIME,2015,Pistols,Port Saint Lucie,556345,"Nov 15, 2015"
0,225,E8239BACB75D1B192CD844519454E493322B9DC608A56A225BDF5EDB622054D1.html,38 Special Revolver.................... $225 : Revolvers,grapher,: 2  I have a Rohm RM40 38 Special 6 shot revolver for sale. Shows some wear but functions perfectly and cylinder locks up very tight.    Selling for $225 or open to trades.  Call or text Stephen at 352-553-3062,2015,Revolvers,Lady Lake,556930,"Nov 20, 2015"
0,400,E9224C0F225EDB47C6B09417F9228127D684AB8BE8A77353FFD1AE4A2388D090.html,Eotech xps2-2 : Optics/Sights,StevieG,: 1  Selling my eotech xps2-2. Price is $400 pm me if your interested.,2015,,Naples,556879,"Nov 19, 2015"
0,0,F172FBB8431FB02C3B67296C1A0A6F361C946B44A6F2F685069559BA43F30FAA.html,Glock 19 gen 3 (TRADE) : Pistols,outlaw23,": 3   Nib glock 19 gen 3 factory test fired only    Trade for    Ruger gp100 357 (3""/4""/6""   Ruger sp101 357 (2"")   Ruger lcr 357    Ruger lcx 357    (NOT INTERESTED IN ANY OTHER TRADES)   TEXT ME ANYTIME 321 626 8800",2015,Pistols,Melbourne,557005,"Nov 20, 2015"
0,0,F721A4908EB68CA7CF0B89AFA8D653A136AA33F8CC2823D11487EB72B13C89E9.html,WTT FOR SAM7 UF or SF : Rifles,cesar62188,: 3  I have a milled slr101s bulgarian ak with a m4 stock adapter 60 rounds through it want to trade for a sam7 uf or sf in same condition ! Thanks 7868049949,2015,Rifles,MIAMI GARDENS,556097,"Nov 14, 2015"
0,0,FC85FED6348ED967E20441F809D8DAD59F6B4FE80AF0C971DBAA0E283CEBD457.html,Trade LNIB Hk 45 V1 safequeen for high end AR orAk : Pistols,Glckmn21,": 4  LNIB Hk 45 V1 with safety and decocker single/double action,never carried only 20 rds down the pipe,no a single scratch on it.  Looking for a High end AR possibly a Colt or AR (Arsenal) can add some ammo for the right trade Text or send pics 786-459-7852",2015,Pistols,Broward,556283,"Nov 15, 2015"
0,0,FD3A92F4AA42AEFFC031F324EE3823A63663FF15D0E1224195C0FC9BBEF5AE1B.html,ruger sr22 : Pistols,v8hunter99,: 1   Ruger sr22   Great condition    $300,2015,Pistols,St Augustine,556142,"Nov 14, 2015"
0,0,FDF5760F01FC28F3EC70A7D0FDC5CDDBB41DAA5C292E8C728C778B754B0BCF4E.html,Miami Gun Show This Weekend! Nov 14-15! : Pistols,edroc57,": 2   Miami Gun Show today! Show Special $45 Concealed Weapon Class! Miami Gun Show! FloridaGunExpo.com Miami Gun Show Nov 14th-15th @ Miccosukee Gaming Resort (500 sw 177th ave) FREE Parking! Everyone's Invited! Buy - Sell - Trade - Browse 1000's of Guns, knives, Ammo, tactical gear and more! Need a concealed weapon permit? Class only $45 sign up now!! More info call 305-922-3677 or go to FloridaGunExpo.com",2015,Pistols,Miami,556013,"Nov 14, 2015"
